contigName	contigLen	totalAvgDepth	220421_RR4342129_aln_sorted.bam	220421_RR4342129_aln_sorted.bam-var
k105_391 flag=0 multi=8.0725 len=3028	3028	35.4173	35.4173	91.0997
k105_82317 flag=0 multi=14.0803 len=2221	2221	82.9039	82.9039	297.58
k105_406 flag=1 multi=3.0000 len=1736	1736	14.1873	14.1873	16.8728
k105_82331 flag=0 multi=6.8879 len=3744	3744	27.5854	27.5854	62.1811
k105_82342 flag=1 multi=2.0000 len=1912	1912	7.95346	7.95346	5.49703
k105_417 flag=0 multi=15.3978 len=3051	3051	73.3699	73.3699	140
k105_82346 flag=1 multi=3.0000 len=1868	1868	12.4144	12.4144	22.244
k105_433 flag=1 multi=4.4886 len=1767	1767	21.0204	21.0204	89.4568
k105_434 flag=0 multi=12.6275 len=2497	2497	47.1052	47.1052	168.18
k105_82387 flag=0 multi=1.9956 len=2369	2369	10.7792	10.7792	11.595
k105_82389 flag=0 multi=4.9814 len=2257	2257	22.7741	22.7741	34.986
k105_82392 flag=1 multi=1.9406 len=2059	2059	9.30278	9.30278	11.8685
k105_82399 flag=1 multi=3.0000 len=2420	2420	19.3771	19.3771	58.3577
k105_470 flag=1 multi=2.9452 len=4227	4227	24.3579	24.3579	54.0781
k105_82409 flag=1 multi=3.0000 len=1752	1752	11.6798	11.6798	5.9692
k105_474 flag=1 multi=4.0000 len=2097	2097	13.4643	13.4643	19.7217
k105_82412 flag=1 multi=2.8767 len=2076	2076	22.7799	22.7799	116.451
k105_485 flag=1 multi=1.8452 len=1533	1533	12.1439	12.1439	15.2203
k105_82419 flag=1 multi=4.0000 len=5480	5480	12.2235	12.2235	11.3393
k105_496 flag=1 multi=2.9915 len=1746	1746	19.567	19.567	61.0131
k105_82427 flag=0 multi=2.8479 len=1565	1565	14.718	14.718	45.8503
k105_82440 flag=1 multi=2.4166 len=1670	1670	14.1046	14.1046	19.7857
k105_511 flag=1 multi=3.9246 len=1736	1736	22.3884	22.3884	133.328
k105_513 flag=0 multi=5.9774 len=2313	2313	24.7018	24.7018	31.3878
k105_82458 flag=0 multi=4.0000 len=2188	2188	13.3342	13.3342	16.201
k105_529 flag=0 multi=4.1171 len=1728	1728	53.6597	53.6597	1173.11
k105_531 flag=1 multi=3.0000 len=3181	3181	13.2428	13.2428	22.0651
k105_538 flag=1 multi=3.0000 len=1619	1619	31.1675	31.1675	164.102
k105_540 flag=1 multi=3.5823 len=3296	3296	22.5633	22.5633	28.6338
k105_82488 flag=1 multi=4.0000 len=1962	1962	13.984	13.984	19.9738
k105_82489 flag=1 multi=1.9498 len=2056	2056	14.7823	14.7823	22.1419
k105_82496 flag=1 multi=3.0000 len=2223	2223	10.8789	10.8789	15.3951
k105_551 flag=0 multi=5.0000 len=4300	4300	15.7125	15.7125	25.2563
k105_82498 flag=0 multi=3.9896 len=2980	2980	14.9604	14.9604	23.2251
k105_555 flag=1 multi=3.0000 len=2691	2691	11.4904	11.4904	11.4043
k105_556 flag=1 multi=2.6356 len=2734	2734	29.4919	29.4919	86.4846
k105_82504 flag=0 multi=8.0109 len=13276	13276	26.389	26.389	51.2976
k105_569 flag=1 multi=3.9305 len=3298	3298	25.3116	25.3116	41.6509
k105_82505 flag=1 multi=3.0000 len=2932	2932	9.11646	9.11646	7.20822
k105_82532 flag=1 multi=4.2853 len=1679	1679	17.0471	17.0477	64.8244
k105_595 flag=1 multi=4.0000 len=3145	3145	17.9042	17.9045	26.9061
k105_599 flag=1 multi=4.0000 len=3838	3838	15.1866	15.1866	21.649
k105_82551 flag=1 multi=4.0000 len=2061	2061	17.2135	17.2135	24.1973
k105_606 flag=1 multi=3.8659 len=2186	2186	16.3684	16.3684	48.5147
k105_82556 flag=1 multi=2.9439 len=2566	2566	10.9098	10.9098	17.4917
k105_611 flag=1 multi=3.8231 len=1903	1903	13.64	13.64	47.1358
k105_622 flag=0 multi=8.0000 len=2294	2294	35.7878	35.7878	128.016
k105_82576 flag=1 multi=3.0000 len=1957	1957	9.67294	9.67294	7.73628
k105_626 flag=1 multi=4.6474 len=3565	3565	22.4779	22.4779	30.9393
k105_629 flag=1 multi=3.0000 len=2036	2036	20.0726	20.0726	37.9284
k105_637 flag=1 multi=2.9330 len=1926	1926	23.8407	23.8407	56.9476
k105_82601 flag=1 multi=3.0000 len=6956	6956	17.9356	17.9358	30.4134
k105_82602 flag=1 multi=2.0000 len=2026	2026	16.7479	16.7479	40.3658
k105_642 flag=0 multi=9.9916 len=10756	10756	34.711	34.711	72.6552
k105_643 flag=1 multi=2.8535 len=2426	2426	18.3528	18.3528	28.0931
k105_82609 flag=1 multi=2.8887 len=1705	1705	13.7325	13.7325	40.3477
k105_649 flag=1 multi=3.8692 len=3063	3063	17.3251	17.3251	17.7759
k105_651 flag=0 multi=4.8533 len=2437	2437	29.15	29.15	71.8918
k105_82624 flag=0 multi=2.9875 len=1700	1700	14.3916	14.3916	12.0319
k105_82629 flag=1 multi=4.0000 len=1754	1754	12.1696	12.1696	14.3642
k105_82630 flag=0 multi=3.9570 len=6314	6314	15.0075	15.0075	15.6818
k105_672 flag=0 multi=6.8838 len=1955	1955	25.0914	25.0914	46.266
k105_675 flag=0 multi=2.9877 len=1736	1736	14.8808	14.8808	58.8635
k105_677 flag=0 multi=3.9804 len=1792	1792	14.8691	14.8691	23.9395
k105_682 flag=1 multi=1.8890 len=1988	1988	10.833	10.833	16.1118
k105_82666 flag=1 multi=3.9001 len=2447	2447	20.037	20.037	40.439
k105_82670 flag=1 multi=2.0000 len=1633	1633	9.27714	9.27714	7.47709
k105_82672 flag=1 multi=3.0000 len=3048	3048	11.8996	11.8996	22.0353
k105_716 flag=0 multi=2.9869 len=1626	1626	20.0583	20.0583	67.8707
k105_82679 flag=1 multi=5.0000 len=5635	5635	18.2562	18.2562	31.2714
k105_82681 flag=1 multi=4.0000 len=3154	3154	15.1481	15.1481	15.4709
k105_738 flag=0 multi=4.0000 len=2551	2551	16.4161	16.4161	20.62
k105_82685 flag=0 multi=9.0574 len=8358	8358	32.0331	32.0331	41.7233
k105_748 flag=0 multi=3.5160 len=2165	2165	18.8194	18.8194	74.116
k105_82686 flag=1 multi=2.9434 len=2401	2401	12.0746	12.0746	22.0663
k105_751 flag=1 multi=2.5648 len=1594	1594	19.0284	19.0284	25.9624
k105_759 flag=1 multi=3.0000 len=2310	2310	25.0157	25.0157	49.1828
k105_82704 flag=0 multi=5.9308 len=1550	1550	17.8879	17.8879	51.6076
k105_82707 flag=0 multi=9.8754 len=1550	1550	35.0793	35.0793	54.0343
k105_768 flag=0 multi=15.4854 len=3708	3708	89.2409	89.2409	251.876
k105_82716 flag=1 multi=1.9620 len=2234	2234	21.0998	21.0998	57.0751
k105_776 flag=1 multi=4.5032 len=1502	1502	19.3033	19.3033	24.4927
k105_82737 flag=1 multi=1.9150 len=1634	1634	16.035	16.035	34.394
k105_800 flag=0 multi=17.3940 len=2072	2072	102.451	102.451	472.123
k105_82753 flag=1 multi=2.0000 len=2559	2559	7.17061	7.17061	4.61499
k105_82763 flag=0 multi=6.2225 len=1817	1817	29.82	29.82	265.404
k105_82770 flag=1 multi=3.0000 len=1502	1502	12.4172	12.4172	38.843
k105_82773 flag=1 multi=2.9353 len=2672	2672	12.9136	12.9136	15.0699
k105_82775 flag=1 multi=2.0000 len=1650	1650	10.6727	10.6727	9.57189
k105_82779 flag=1 multi=2.5579 len=1781	1781	10.3219	10.3219	5.15584
k105_82782 flag=1 multi=3.9509 len=1817	1817	21.243	21.243	35.0808
k105_809 flag=0 multi=8.9915 len=19033	19033	27.2394	27.2394	43.1363
k105_816 flag=0 multi=5.5814 len=1887	1887	36.1088	36.1094	80.0074
k105_82811 flag=1 multi=3.0000 len=2615	2615	12.731	12.731	30.8096
k105_826 flag=0 multi=27.0604 len=4227	4227	106.976	106.976	938.407
k105_829 flag=1 multi=3.1680 len=2701	2701	14.6954	14.6954	29.0881
k105_82829 flag=0 multi=3.4518 len=1982	1982	13.5022	13.5022	39.1828
k105_82832 flag=1 multi=2.0000 len=1895	1895	12.0057	12.0057	14.6067
k105_839 flag=0 multi=6.9612 len=1651	1651	22.2239	22.2239	35.8005
k105_844 flag=0 multi=9.7680 len=1915	1915	30.8697	30.8697	38.3595
k105_847 flag=0 multi=3.8338 len=1675	1675	16.2426	16.2426	15.7915
k105_82840 flag=1 multi=3.0000 len=6395	6395	13.0837	13.0837	19.6325
k105_82841 flag=1 multi=3.8241 len=1901	1901	22.3267	22.3267	148.402
k105_82843 flag=1 multi=3.0000 len=1939	1939	10.3952	10.3952	8.35327
k105_869 flag=1 multi=1.9651 len=2711	2711	9.19953	9.19953	11.8988
k105_880 flag=1 multi=3.0000 len=1578	1578	12.5987	12.5987	25.9125
k105_881 flag=0 multi=5.4919 len=2069	2069	25.5503	25.5503	168.037
k105_891 flag=0 multi=5.6641 len=2668	2668	18.4392	18.4392	23.6131
k105_892 flag=1 multi=2.7635 len=1733	1733	13.8136	13.8136	22.4261
k105_82896 flag=1 multi=2.9441 len=1967	1967	20.011	20.011	73.849
k105_895 flag=0 multi=12.3297 len=2668	2668	37.8975	37.8975	83.8014
k105_82900 flag=1 multi=3.0000 len=3252	3252	12.2879	12.2879	14.2089
k105_898 flag=1 multi=3.0000 len=1949	1949	13.1351	13.1351	25.9512
k105_901 flag=1 multi=3.0000 len=6175	6175	17.044	17.044	18.8256
k105_82930 flag=1 multi=2.3212 len=3913	3913	13.1116	13.1116	15.9195
k105_918 flag=0 multi=23.5365 len=1939	1939	110.902	110.902	749.111
k105_82963 flag=0 multi=4.9847 len=2713	2713	24.5174	24.5174	53.0937
k105_934 flag=0 multi=7.5761 len=1742	1742	40.1438	40.1438	157.008
k105_951 flag=1 multi=2.0000 len=2179	2179	13.5047	13.5047	24.5055
k105_82984 flag=0 multi=4.9923 len=5302	5302	20.3861	20.3861	47.0897
k105_957 flag=1 multi=3.6101 len=2098	2098	13.1838	13.1838	21.9959
k105_82988 flag=1 multi=2.9989 len=3865	3865	14.1238	14.1238	17.289
k105_82997 flag=1 multi=3.3247 len=2276	2276	23.2206	23.2206	79.6092
k105_83006 flag=1 multi=1.9436 len=1523	1523	17.9141	17.9141	56.5571
k105_83007 flag=1 multi=4.0000 len=2175	2175	22.5294	22.5294	73.6762
k105_980 flag=1 multi=3.9904 len=10758	10758	16.4149	16.4149	29.0803
k105_987 flag=1 multi=3.5841 len=1627	1627	14.7495	14.7495	35.1785
k105_83025 flag=0 multi=11.1885 len=4487	4487	34.9855	34.9855	47.4556
k105_991 flag=0 multi=19.7410 len=2522	2522	118.624	118.624	253.354
k105_992 flag=1 multi=3.0000 len=2092	2092	11.6746	11.6746	9.38283
k105_83033 flag=0 multi=5.2095 len=4487	4487	17.7932	17.7932	40.6505
k105_1002 flag=0 multi=25.9634 len=2288	2288	115.595	115.595	211.344
k105_83042 flag=1 multi=4.7733 len=2505	2505	12.9533	12.9533	13.3989
k105_1004 flag=1 multi=2.8937 len=1948	1948	13.0412	13.0412	12.5036
k105_83049 flag=1 multi=2.9684 len=5225	5225	12.8146	12.8146	17.289
k105_83057 flag=1 multi=3.0000 len=1979	1979	11.3155	11.3155	18.9765
k105_1027 flag=1 multi=1.8940 len=1634	1634	10.9987	10.9987	7.58727
k105_1030 flag=1 multi=3.0000 len=2316	2316	13.9783	13.9783	17.4106
k105_1034 flag=0 multi=8.7595 len=4534	4534	37.5871	37.5871	142.119
k105_83059 flag=0 multi=30.2851 len=15905	15905	120.713	120.713	508.407
k105_83060 flag=1 multi=4.0000 len=1604	1604	15.8212	15.8212	20.7085
k105_83062 flag=0 multi=24.8461 len=3438	3438	116.683	116.683	818.563
k105_1040 flag=0 multi=30.2482 len=3368	3368	118.804	118.804	557.243
k105_1042 flag=1 multi=2.0000 len=1540	1540	7.36691	7.36691	3.78611
k105_1046 flag=0 multi=8.3235 len=3125	3125	36.9173	36.9173	253.172
k105_1050 flag=1 multi=3.8232 len=1785	1785	17.5658	17.5658	72.7636
k105_1063 flag=1 multi=2.0000 len=1528	1528	14.8962	14.8962	30.5985
k105_83101 flag=1 multi=1.9921 len=1503	1503	15.915	15.915	21.6607
k105_1069 flag=1 multi=1.9410 len=1562	1562	12.313	12.313	12.0692
k105_1073 flag=1 multi=2.9483 len=2312	2312	12.4334	12.4334	15.7146
k105_83110 flag=1 multi=2.9007 len=1878	1878	8.02604	8.02604	4.59397
k105_1086 flag=0 multi=5.8825 len=1671	1671	45.9073	45.9073	279.381
k105_1088 flag=0 multi=6.9344 len=2072	2072	35.0078	35.0078	74.1961
k105_83130 flag=0 multi=23.3210 len=3077	3077	104.636	104.636	540.518
k105_83131 flag=1 multi=2.7386 len=4065	4065	20.743	20.743	70.1781
k105_1104 flag=1 multi=2.0000 len=2190	2190	11.4667	11.4667	10.2736
k105_1107 flag=0 multi=9.9876 len=7350	7350	31.0133	31.0133	47.8032
k105_83150 flag=1 multi=3.4318 len=3222	3222	16.3753	16.3753	25.5091
k105_1120 flag=1 multi=2.4894 len=1999	1999	14.8859	14.8859	14.1402
k105_1123 flag=1 multi=2.6813 len=1542	1542	20.6042	20.6042	42.3684
k105_1124 flag=1 multi=3.9107 len=2155	2155	18.4618	18.4618	44.6628
k105_83176 flag=1 multi=2.9940 len=3456	3456	11.9782	11.9782	28.685
k105_1125 flag=1 multi=2.9469 len=3196	3196	12.4997	12.4997	17.5794
k105_83183 flag=1 multi=1.9965 len=1533	1533	12.0839	12.0839	8.20714
k105_1142 flag=1 multi=4.0000 len=4637	4637	19.9407	19.9407	28.1503
k105_1146 flag=0 multi=3.5573 len=1589	1589	24.312	24.312	143.571
k105_83202 flag=1 multi=3.0000 len=3844	3844	13.9348	13.9348	36.8202
k105_1147 flag=0 multi=8.2206 len=8418	8418	37.0294	37.0294	72.6645
k105_1149 flag=0 multi=15.4377 len=2392	2392	108.387	108.387	478.763
k105_1156 flag=1 multi=2.6840 len=2893	2893	18.518	18.5184	31.9457
k105_83225 flag=1 multi=4.0000 len=12960	12960	17.6066	17.6066	25.8229
k105_1176 flag=0 multi=5.0822 len=4118	4118	16.9592	16.9592	23.8028
k105_83240 flag=0 multi=3.8591 len=2645	2645	22.5359	22.5359	88.3282
k105_1180 flag=0 multi=9.9700 len=3110	3110	33.9628	33.9628	61.856
k105_1186 flag=0 multi=30.7762 len=5408	5408	122.57	122.57	487.894
k105_1192 flag=1 multi=3.0000 len=1614	1614	11.1127	11.1127	10.6332
k105_83273 flag=1 multi=3.0000 len=3519	3519	11.9297	11.9297	13.9387
k105_1199 flag=1 multi=2.8558 len=2283	2283	15.4233	15.4233	33.3577
k105_83279 flag=1 multi=3.0000 len=2454	2454	11.3945	11.3945	15.4847
k105_1236 flag=0 multi=10.1203 len=3670	3670	34.1804	34.1804	61.5763
k105_83366 flag=0 multi=2.6458 len=2835	2835	14.019	14.019	19.0507
k105_83375 flag=1 multi=2.8246 len=1861	1861	14.5488	14.5488	26.5832
k105_1282 flag=1 multi=3.0000 len=4949	4949	13.2709	13.2709	15.5546
k105_83386 flag=1 multi=2.3329 len=2190	2190	13.2059	13.2059	18.8904
k105_83390 flag=1 multi=3.0000 len=2680	2680	11.4249	11.4249	15.3509
k105_1295 flag=1 multi=3.0000 len=2673	2673	12.0246	12.0246	18.7043
k105_83391 flag=1 multi=1.9421 len=2194	2194	15.5382	15.5382	16.1557
k105_1299 flag=1 multi=2.0000 len=1645	1645	8.65753	8.65753	4.0513
k105_1308 flag=0 multi=24.9622 len=11089	11089	110.707	110.707	293.459
k105_83426 flag=1 multi=3.0000 len=3361	3361	11.3824	11.3824	17.4467
k105_83435 flag=0 multi=2.5601 len=1537	1537	11.2841	11.2841	17.4892
k105_1324 flag=0 multi=3.5788 len=1546	1546	19.967	19.967	58.9223
k105_83442 flag=1 multi=4.3639 len=2963	2963	18.2407	18.2407	67.0584
k105_1331 flag=0 multi=7.4707 len=2104	2104	39.3961	39.3961	292.072
k105_83447 flag=1 multi=3.9846 len=2058	2058	11.9277	11.9277	13.4295
k105_1346 flag=0 multi=4.5471 len=3894	3894	28.226	28.226	98.3138
k105_83462 flag=0 multi=4.9090 len=3753	3753	16.1418	16.1421	23.7082
k105_83466 flag=0 multi=5.0000 len=1707	1707	18.2659	18.2659	67.3971
k105_83470 flag=1 multi=4.0000 len=4056	4056	15.7604	15.7604	19.1538
k105_83471 flag=1 multi=2.9146 len=2306	2306	18.391	18.391	78.9481
k105_1364 flag=1 multi=4.9621 len=5177	5177	21.3758	21.3758	79.5901
k105_83478 flag=0 multi=4.2658 len=1561	1561	31.0695	31.0695	163.517
k105_1373 flag=1 multi=3.0000 len=1963	1963	13.9079	13.9079	21.3706
k105_1376 flag=1 multi=2.3776 len=1853	1853	11.0241	11.0241	10.1293
k105_83490 flag=1 multi=6.3374 len=3416	3416	23.8163	23.8163	77.4858
k105_83497 flag=0 multi=5.9752 len=2119	2119	21.3936	21.3936	96.0769
k105_1399 flag=0 multi=3.3350 len=1866	1866	18.9732	18.9732	151.162
k105_1418 flag=1 multi=2.0000 len=1655	1655	8.6186	8.6186	5.9648
k105_83543 flag=1 multi=2.5907 len=1693	1693	13.6507	13.6507	10.5323
k105_1420 flag=1 multi=4.0000 len=5340	5340	14.5603	14.5603	24.3181
k105_83562 flag=1 multi=4.0000 len=3014	3014	12.0817	12.0817	15.3498
k105_83571 flag=0 multi=22.1649 len=1906	1906	93.0382	93.0382	331.958
k105_1437 flag=0 multi=4.4129 len=1914	1914	35.3673	35.3673	186.859
k105_1443 flag=1 multi=3.0000 len=4470	4470	11.0574	11.0574	10.8598
k105_83573 flag=1 multi=4.0000 len=12697	12697	14.9088	14.9088	16.1675
k105_83582 flag=1 multi=2.4446 len=1630	1630	7.71689	7.71689	7.80688
k105_1498 flag=0 multi=5.5917 len=3098	3098	29.6794	29.6794	79.983
k105_1499 flag=1 multi=3.0000 len=1684	1684	10.9335	10.9335	16.2825
k105_83619 flag=1 multi=3.9664 len=6973	6973	12.8556	12.8556	15.2768
k105_1502 flag=0 multi=8.3412 len=2886	2886	33.152	33.152	96.7225
k105_83622 flag=1 multi=3.0000 len=1558	1558	8.79261	8.79261	6.68759
k105_1509 flag=0 multi=7.7236 len=3701	3701	26.8415	26.8415	57.0832
k105_1514 flag=0 multi=3.5010 len=2049	2049	20.0548	20.0548	106.152
k105_83635 flag=0 multi=3.7617 len=5691	5691	21.9921	21.9921	65.9256
k105_83645 flag=1 multi=3.0000 len=1807	1807	10.0024	10.0024	11.936
k105_1525 flag=1 multi=2.0000 len=1539	1539	12.2901	12.2901	12.1471
k105_1528 flag=0 multi=4.9108 len=4005	4005	21.746	21.746	65.787
k105_83655 flag=0 multi=4.0000 len=1640	1640	17.4758	17.4758	28.1287
k105_1532 flag=1 multi=1.9549 len=2145	2145	11.783	11.783	9.3184
k105_83658 flag=0 multi=6.1485 len=4037	4037	26.9254	26.9254	54.9092
k105_1537 flag=1 multi=3.0000 len=1558	1558	10.9588	10.9588	19.832
k105_83659 flag=0 multi=5.9967 len=15379	15379	19.8043	19.8043	28.0266
k105_1551 flag=1 multi=4.0000 len=5978	5978	17.168	17.168	33.0268
k105_1578 flag=0 multi=6.5663 len=10861	10861	31.9652	31.9652	116.663
k105_1600 flag=1 multi=2.0000 len=1544	1544	12.0179	12.0179	11.7649
k105_1610 flag=0 multi=4.9791 len=2015	2015	27.3201	27.3201	89.9916
k105_1614 flag=1 multi=8.0000 len=5949	5949	34.1695	34.1695	84.0574
k105_83670 flag=0 multi=9.9717 len=52015	52015	28.7505	28.7505	47.3554
k105_83687 flag=1 multi=3.0000 len=1528	1528	10.9731	10.9731	14.2789
k105_1636 flag=0 multi=4.9905 len=4297	4297	26.9884	26.9884	78.1532
k105_1638 flag=1 multi=2.8814 len=1909	1909	11.6561	11.6561	14.1507
k105_83717 flag=1 multi=3.0000 len=1935	1935	10.3597	10.3597	18.2203
k105_1653 flag=0 multi=5.2266 len=2753	2753	17.4157	17.4157	99.0456
k105_83718 flag=1 multi=2.9304 len=2029	2029	11.5247	11.5247	8.78629
k105_1662 flag=1 multi=2.0000 len=2924	2924	12.2058	12.2058	16.5969
k105_1673 flag=1 multi=2.9784 len=1957	1957	13.3907	13.3907	16.2647
k105_83747 flag=0 multi=5.6922 len=2652	2652	18.462	18.462	28.5069
k105_1700 flag=1 multi=5.0000 len=3672	3672	14.1638	14.1638	17.0938
k105_1701 flag=1 multi=2.4600 len=4372	4372	20.0895	20.0895	64.6207
k105_83797 flag=0 multi=3.9589 len=3198	3198	20.5518	20.5518	93.9118
k105_83800 flag=0 multi=10.4737 len=1815	1815	35.8955	35.8955	160.657
k105_83804 flag=1 multi=3.0000 len=1915	1915	9.79037	9.79037	9.85285
k105_1722 flag=1 multi=2.5805 len=1862	1862	16.9328	16.9328	25.7868
k105_83810 flag=0 multi=3.0000 len=1797	1797	27.5805	27.5805	84.5817
k105_83827 flag=0 multi=3.9839 len=1971	1971	27.5557	27.5557	128.912
k105_1751 flag=1 multi=2.0917 len=1621	1621	8.76818	8.76818	5.47347
k105_83843 flag=1 multi=3.0000 len=1765	1765	11.0396	11.0396	11.2586
k105_1772 flag=1 multi=4.1478 len=3609	3609	20.3437	20.3437	36.0208
k105_83872 flag=0 multi=2.9335 len=1639	1639	14.642	14.642	113.345
k105_83876 flag=0 multi=7.0000 len=4196	4196	23.9476	23.9476	41.1934
k105_1795 flag=1 multi=5.3181 len=1809	1809	25.5449	25.5449	48.8801
k105_1803 flag=1 multi=1.9844 len=1516	1516	27.0871	27.0871	124.59
k105_83906 flag=1 multi=3.0000 len=1867	1867	10.8573	10.8573	10.3625
k105_83910 flag=1 multi=4.5167 len=3455	3455	22.1471	22.1471	47.3307
k105_1828 flag=0 multi=3.9200 len=1530	1530	21.042	21.042	53.6312
k105_1839 flag=1 multi=5.0000 len=1926	1926	15.8187	15.8187	17.9884
k105_1845 flag=1 multi=3.0000 len=1503	1503	12.1109	12.1109	18.285
k105_1847 flag=1 multi=3.0000 len=1671	1671	11.7324	11.7324	10.2407
k105_83952 flag=1 multi=2.9726 len=4119	4119	11.706	11.706	11.8412
k105_1877 flag=1 multi=2.0000 len=1757	1757	14.458	14.458	34.7128
