contigName	contigLen	totalAvgDepth	220421_RR4342133_aln_sorted.bam	220421_RR4342133_aln_sorted.bam-var
k105_87500 flag=0 multi=4.8255 len=4660	4660	23.4337	23.4337	82.3443
k105_939 flag=0 multi=58.7329 len=2366	2366	196.254	196.254	885.231
k105_87514 flag=0 multi=5.6501 len=2797	2797	26.0593	26.0593	65.6174
k105_947 flag=0 multi=11.1139 len=1519	1519	67.9043	67.9043	83.0134
k105_948 flag=1 multi=3.9129 len=6026	6026	15.9278	15.9278	24.0958
k105_87524 flag=0 multi=6.9726 len=4479	4479	21.9848	21.9848	35.8842
k105_955 flag=1 multi=4.0000 len=1642	1642	14.1582	14.1582	23.9963
k105_963 flag=0 multi=10.0000 len=2038	2038	27.3559	27.3559	60.1711
k105_967 flag=1 multi=5.0000 len=2012	2012	17.9372	17.9372	37.6162
k105_87539 flag=1 multi=3.0000 len=2086	2086	11.845	11.845	14.6313
k105_87543 flag=1 multi=4.0000 len=3135	3135	12.2117	12.2117	12.1462
k105_87544 flag=1 multi=4.7264 len=2561	2561	28.2231	28.2231	49.9804
k105_993 flag=0 multi=5.4765 len=1679	1679	21.5657	21.5657	101.019
k105_87555 flag=1 multi=4.8524 len=1785	1785	19.4648	19.4654	55.2526
k105_1000 flag=1 multi=2.6868 len=1615	1615	14.5761	14.5761	42.6462
k105_87562 flag=1 multi=4.0000 len=1620	1620	18.6912	18.6912	102.575
k105_1003 flag=0 multi=3.9201 len=3820	3820	18.0815	18.0815	27.3723
k105_1006 flag=1 multi=3.0000 len=1835	1835	13.1264	13.1264	8.63538
k105_87575 flag=0 multi=14.2626 len=6281	6281	69.3055	69.3057	305.982
k105_87576 flag=1 multi=2.9263 len=3631	3631	25.5682	25.5682	87.4588
k105_87585 flag=1 multi=4.8509 len=2331	2331	28.1577	28.1577	75.6128
k105_87598 flag=1 multi=4.0000 len=4677	4677	11.7541	11.7541	17.0775
k105_1058 flag=1 multi=4.0000 len=2140	2140	13.1276	13.1276	21.2357
k105_1059 flag=0 multi=5.8339 len=6499	6499	21.2159	21.2159	60.1916
k105_1063 flag=1 multi=2.7611 len=1520	1520	16.3088	16.3088	41.8002
k105_87626 flag=0 multi=5.1846 len=2055	2055	16.3396	16.3402	26.3758
k105_1066 flag=0 multi=3.9426 len=1622	1622	22.4572	22.4572	129.672
k105_87629 flag=0 multi=4.1135 len=1938	1938	13.9659	13.9659	14.0331
k105_1070 flag=1 multi=2.0000 len=1772	1772	20.3601	20.3601	32.1096
k105_87640 flag=0 multi=8.2267 len=2328	2328	62.0193	62.0193	289.988
k105_1074 flag=1 multi=5.0000 len=1759	1759	13.3101	13.3101	15.6793
k105_1075 flag=0 multi=73.6060 len=1562	1562	269.823	269.823	413.087
k105_87641 flag=0 multi=7.0000 len=5558	5558	23.2578	23.2578	53.1228
k105_87651 flag=1 multi=3.8358 len=1567	1567	11.4058	11.4065	18.7061
k105_1092 flag=0 multi=9.9617 len=2455	2455	33.8403	33.8403	69.5737
k105_87661 flag=1 multi=2.9721 len=2115	2115	9.68041	9.68041	4.82142
k105_1103 flag=0 multi=8.9359 len=2397	2397	51.9368	51.9368	191.085
k105_87673 flag=0 multi=5.9458 len=1950	1950	23.2756	23.2756	160.63
k105_1105 flag=1 multi=3.0000 len=1924	1924	12.7435	12.7435	13.9528
k105_1106 flag=1 multi=2.4433 len=1797	1797	13.2842	13.2842	19.2326
k105_87676 flag=0 multi=9.5651 len=4175	4175	30.7558	30.7558	70.467
k105_1112 flag=1 multi=2.0000 len=1836	1836	9.86655	9.86655	11.4391
k105_87691 flag=0 multi=3.9664 len=3679	3679	15.4724	15.4724	25.6427
k105_87694 flag=0 multi=5.0595 len=1668	1668	35.3412	35.3412	494.021
k105_87698 flag=1 multi=4.0000 len=1626	1626	11.4526	11.4526	5.57806
k105_1133 flag=0 multi=15.5844 len=12895	12895	59.4551	59.4551	117.869
k105_1141 flag=0 multi=28.1822 len=1510	1510	138.301	138.301	533.898
k105_1143 flag=1 multi=3.9244 len=1969	1969	23.4843	23.4843	38.7988
k105_87719 flag=0 multi=10.4785 len=5885	5885	34.4593	34.4593	66.0763
k105_1151 flag=0 multi=3.8425 len=4182	4182	19.3336	19.3336	46.0685
k105_87724 flag=1 multi=3.9217 len=2747	2747	10.6477	10.6477	7.90706
k105_87731 flag=0 multi=11.3582 len=9616	9616	35.2902	35.2902	85.8198
k105_87739 flag=0 multi=12.4297 len=1613	1613	47.0772	47.0772	117.231
k105_87760 flag=0 multi=11.8521 len=1660	1660	57.3477	57.3477	350.468
k105_1157 flag=0 multi=77.8807 len=34487	34487	246.181	246.181	1937.78
k105_87765 flag=1 multi=5.0000 len=5911	5911	14.5876	14.5876	17.4896
k105_87773 flag=1 multi=1.9033 len=1543	1543	7.05097	7.05097	4.75101
k105_1167 flag=0 multi=9.5562 len=2651	2651	51.9148	51.9148	135.001
k105_1175 flag=0 multi=49.0839 len=1858	1858	241.458	241.458	1083.96
k105_87785 flag=1 multi=4.0000 len=2453	2453	12.5406	12.5406	19.25
k105_1180 flag=0 multi=4.0000 len=2264	2264	14.5459	14.5459	22.8482
k105_1189 flag=0 multi=15.3786 len=9886	9886	54.4021	54.4021	211.137
k105_87825 flag=1 multi=4.9527 len=1966	1966	32.4213	32.4213	60.9337
k105_1199 flag=1 multi=3.5282 len=3176	3176	16.6652	16.6652	20.2663
k105_87826 flag=0 multi=6.4364 len=10014	10014	25.1267	25.1267	50.4414
k105_1208 flag=0 multi=19.6363 len=6555	6555	57.4219	57.4219	237.549
k105_87831 flag=1 multi=3.2736 len=2919	2919	12.3308	12.3308	26.1977
k105_87839 flag=0 multi=51.0326 len=3114	3114	308.456	308.456	42993.6
k105_1221 flag=1 multi=4.0000 len=2405	2405	15.2306	15.2306	18.3675
k105_87851 flag=0 multi=24.4840 len=2043	2043	90.3846	90.3846	1182.89
k105_1239 flag=1 multi=3.0000 len=1943	1943	13.7395	13.7395	18.4996
k105_87867 flag=1 multi=4.0000 len=3158	3158	15.0994	15.0994	13.9306
k105_1257 flag=1 multi=1.8641 len=1761	1761	8.42955	8.43017	9.84655
k105_1260 flag=1 multi=5.0000 len=3738	3738	18.0814	18.0814	20.726
k105_1271 flag=1 multi=3.0000 len=2705	2705	12.5691	12.5691	12.8359
k105_1273 flag=1 multi=6.0000 len=2041	2041	19.3691	19.3691	26.8162
k105_87870 flag=0 multi=5.1160 len=18565	18565	18.6786	18.6786	43.1625
k105_87871 flag=1 multi=2.9094 len=1849	1849	24.814	24.814	58.4048
k105_1284 flag=1 multi=3.2859 len=2452	2452	16.884	16.884	34.4954
k105_1293 flag=0 multi=6.9671 len=2837	2837	26.2694	26.2694	58.296
k105_1301 flag=0 multi=3.6184 len=1900	1900	24.9709	24.9709	133.703
k105_1304 flag=1 multi=4.0000 len=2048	2048	15.3667	15.3667	11.7327
k105_1307 flag=1 multi=5.0000 len=3198	3198	14.8071	14.8071	17.1194
k105_1309 flag=0 multi=2.9904 len=1979	1979	10.953	10.953	16.8862
k105_1319 flag=0 multi=4.0000 len=2697	2697	17.477	17.477	29.3713
k105_87873 flag=1 multi=7.9904 len=41127	41127	25.8083	25.8083	46.5135
k105_87876 flag=1 multi=2.6050 len=2966	2966	12.5014	12.5014	38.4468
k105_1342 flag=1 multi=3.9658 len=1861	1861	19.2133	19.2133	15.6884
k105_87884 flag=1 multi=3.0000 len=1866	1866	11.5973	11.5973	10.1427
k105_1351 flag=1 multi=36.2421 len=2480	2480	204.534	204.534	45417.7
k105_1352 flag=1 multi=2.8854 len=1501	1501	11.5944	11.5944	33.893
k105_87892 flag=0 multi=14.1271 len=4000	4000	64.9195	64.9195	339.911
k105_1363 flag=0 multi=4.0814 len=2095	2095	26.6684	26.6684	48.0551
k105_1372 flag=0 multi=7.9679 len=2284	2284	25.6584	25.6584	56.4585
k105_1388 flag=1 multi=6.0000 len=7661	7661	17.1225	17.1226	22.0531
k105_87911 flag=1 multi=6.0000 len=16617	16617	20.7705	20.7705	37.3006
k105_87916 flag=1 multi=3.0000 len=2025	2025	12.2368	12.2368	7.74963
k105_1399 flag=0 multi=9.9929 len=4203	4203	33.2633	33.2633	177.212
k105_87917 flag=1 multi=4.0000 len=5318	5318	12.3531	12.3531	15.4777
k105_1411 flag=1 multi=2.9276 len=2562	2562	15.0626	15.0626	40.5027
k105_87923 flag=1 multi=5.0000 len=2944	2944	13.9613	13.9613	21.2324
k105_1413 flag=1 multi=5.0000 len=3285	3285	20.4523	20.4523	70.2629
k105_87925 flag=1 multi=4.9352 len=3501	3501	27.4255	27.4255	81.1171
k105_1418 flag=0 multi=9.5128 len=2334	2334	31.2486	31.2486	87.2303
k105_87933 flag=1 multi=9.0000 len=3296	3296	23.3665	23.3665	230.297
k105_87937 flag=0 multi=10.3709 len=5699	5699	43.1415	43.1415	100.649
k105_1434 flag=0 multi=16.4991 len=2277	2277	95.1613	95.1613	7184.84
k105_1436 flag=0 multi=6.8064 len=1975	1975	35.96	35.96	113.221
k105_87944 flag=0 multi=4.9735 len=2970	2970	18.8053	18.8053	35.2203
k105_87947 flag=0 multi=5.9886 len=4507	4507	27.7801	27.7801	85.7822
k105_1463 flag=1 multi=3.1437 len=1712	1712	15.5493	15.5493	26.9626
k105_87973 flag=1 multi=3.0000 len=1500	1500	13.9133	13.9133	28.1075
k105_1474 flag=0 multi=48.3571 len=7240	7240	174.964	174.964	8207.41
k105_1476 flag=0 multi=19.3943 len=4556	4556	94.5384	94.5384	13812.3
k105_1483 flag=1 multi=2.0000 len=1690	1690	11.3844	11.3844	11.2894
k105_87988 flag=0 multi=12.0000 len=11269	11269	39.3039	39.3039	49.6271
k105_1484 flag=0 multi=7.4796 len=5632	5632	26.9128	26.9128	88.3588
k105_87991 flag=0 multi=11.8026 len=11967	11967	38.289	38.289	56.0034
k105_1489 flag=0 multi=6.6039 len=12123	12123	20.0889	20.0889	28.2511
k105_1491 flag=0 multi=4.9499 len=1701	1701	21.7318	21.7318	1705.1
k105_88020 flag=0 multi=12.0000 len=3528	3528	40.2575	40.2575	77.8495
k105_1501 flag=0 multi=15.9854 len=10353	10353	47.6922	47.6922	94.1481
k105_88034 flag=1 multi=3.8809 len=3329	3329	26.3838	26.3838	64.6875
k105_1512 flag=1 multi=2.0000 len=1504	1504	8.63146	8.63146	12.7192
k105_1520 flag=0 multi=31.3917 len=2344	2344	140.381	140.381	7896.72
k105_1525 flag=0 multi=46.2268 len=1635	1635	298.035	298.036	6638.23
k105_1528 flag=0 multi=86.2166 len=4047	4047	317.525	317.525	2201.59
k105_1539 flag=1 multi=2.2889 len=1628	1628	25.4107	25.4107	199.82
k105_1567 flag=1 multi=4.0000 len=3126	3126	13.8364	13.8364	14.6223
k105_1580 flag=0 multi=12.0000 len=2206	2206	36.8016	36.8016	38.7925
k105_88048 flag=0 multi=16.0000 len=45212	45212	44.8935	44.8935	74.5491
k105_88051 flag=0 multi=12.2272 len=1791	1791	47.7185	47.7185	127.941
k105_1592 flag=1 multi=3.7874 len=3176	3176	27.7336	27.7336	95.7735
k105_88057 flag=1 multi=6.0000 len=1661	1661	27.0251	27.0251	53.5968
k105_1596 flag=0 multi=2.0000 len=2408	2408	21.2617	21.2617	53.3497
k105_1612 flag=1 multi=5.0000 len=6236	6236	15.2243	15.2243	19.809
k105_88080 flag=1 multi=3.0000 len=2201	2201	13.7426	13.7426	18.2157
k105_1613 flag=0 multi=7.9639 len=2046	2046	26.8465	26.8465	73.0028
k105_88086 flag=1 multi=3.0000 len=1609	1609	19.5168	19.5175	87.5117
k105_1621 flag=0 multi=8.2601 len=2043	2043	59.4279	59.4279	503.717
k105_88094 flag=1 multi=3.0000 len=1561	1561	11.4451	11.4458	20.5976
k105_1627 flag=0 multi=10.6022 len=4125	4125	47.3044	47.3044	80.2512
k105_1640 flag=1 multi=5.0000 len=2160	2160	17.0095	17.0095	20.9382
k105_88115 flag=0 multi=12.4349 len=1940	1940	63.6553	63.6553	232.386
k105_88123 flag=0 multi=8.9786 len=3845	3845	30.6168	30.6168	52.206
k105_1657 flag=0 multi=6.3716 len=1725	1725	42.2844	42.2844	175.054
k105_88125 flag=1 multi=3.0000 len=2601	2601	11.295	11.295	13.2513
k105_1670 flag=1 multi=2.9434 len=2826	2826	11.8251	11.8251	21.6875
k105_1677 flag=1 multi=4.0000 len=5160	5160	15.6796	15.6796	20.3432
k105_1683 flag=0 multi=4.8905 len=3064	3064	24.0755	24.0755	78.96
k105_88167 flag=0 multi=19.8433 len=2288	2288	41.84	41.84	339.003
k105_1697 flag=1 multi=3.7913 len=2520	2520	22.1848	22.1848	50.3509
k105_88183 flag=0 multi=10.2836 len=2041	2041	36.1962	36.1962	208.606
k105_1703 flag=0 multi=3.0000 len=2235	2235	11.7947	11.7947	13.7179
k105_88187 flag=1 multi=2.9173 len=1798	1798	9.34891	9.34891	11.2231
k105_88199 flag=1 multi=2.8900 len=1632	1632	20.1903	20.1903	41.8478
k105_1716 flag=0 multi=81.1464 len=7316	7316	287.982	287.982	8472.03
k105_88202 flag=1 multi=3.3239 len=2609	2609	23.5482	23.5482	60.6589
k105_1720 flag=1 multi=2.3738 len=1531	1531	15.1021	15.1021	190.374
k105_88214 flag=0 multi=69.1713 len=4717	4717	257.757	257.757	5757.63
k105_88216 flag=0 multi=6.3918 len=2111	2111	41.0301	41.0301	213.816
k105_88218 flag=1 multi=2.0000 len=1770	1770	12.2105	12.2105	13.7463
k105_1728 flag=0 multi=5.8204 len=15744	15744	25.1405	25.1405	74.745
k105_88230 flag=1 multi=3.1645 len=1746	1746	12.5357	12.5357	21.3147
k105_1732 flag=1 multi=2.8674 len=1628	1628	15.4263	15.4263	22.3842
k105_88243 flag=0 multi=8.0000 len=4876	4876	30.3633	30.3633	44.5916
k105_1751 flag=1 multi=5.0000 len=1978	1978	25.8654	25.8654	104.248
k105_88254 flag=0 multi=4.2091 len=2305	2305	29.8339	29.8339	1058.16
k105_88266 flag=0 multi=8.8335 len=2603	2603	30.9062	30.9062	68.5619
k105_1756 flag=0 multi=5.9875 len=10538	10538	20.0499	20.0499	33.7894
k105_1758 flag=0 multi=8.3959 len=1863	1863	50.7869	50.7869	384.118
k105_88272 flag=1 multi=3.0000 len=1822	1822	9.94498	9.94498	7.90116
k105_88277 flag=0 multi=6.3871 len=1867	1867	62.9179	62.9179	3708.52
k105_1759 flag=1 multi=5.0000 len=8539	8539	15.5405	15.5405	24.6064
k105_1761 flag=0 multi=5.9794 len=2536	2536	21.8873	21.8873	33.5539
k105_1766 flag=1 multi=3.4311 len=2536	2536	17.9824	17.9824	47.3199
k105_88296 flag=1 multi=2.8995 len=3390	3390	11.5944	11.5944	15.7663
k105_88299 flag=0 multi=51.4549 len=1833	1833	165.822	165.822	5696.97
k105_1769 flag=1 multi=4.0000 len=3805	3805	17.7825	17.7825	35.797
k105_88312 flag=1 multi=2.0000 len=2703	2703	11.7881	11.7881	24.8394
k105_1771 flag=1 multi=3.9739 len=8375	8375	12.573	12.573	17.6811
