#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k105_289 flag=0 multi=4.2325 len=1645	76.1726	1645	0.0000	100.0000	1645	624	642	0.3915	72	22.30
k105_82178 flag=1 multi=2.2191 len=1990	22.5608	1990	0.0000	100.0000	1990	227	227	0.6208	22	6.15
k105_82186 flag=1 multi=4.0000 len=2181	10.5635	2181	0.0000	100.0000	2181	113	117	0.5195	10	4.94
k105_322 flag=1 multi=2.8447 len=1522	13.0026	1522	0.0000	100.0000	1522	100	98	0.3826	13	3.25
k105_323 flag=0 multi=18.3494 len=4561	105.8853	4561	0.0000	100.0000	4561	2398	2419	0.2835	106	16.72
k105_82215 flag=1 multi=2.8909 len=1902	20.4169	1902	0.0000	100.0000	1902	188	198	0.3172	20	5.54
k105_82225 flag=1 multi=3.0000 len=1620	13.0877	1620	0.0000	100.0000	1620	107	107	0.6002	13	4.50
k105_325 flag=1 multi=11.0000 len=17783	47.5490	17783	0.0000	100.0000	17783	4139	4266	0.3163	47	12.37
k105_82242 flag=1 multi=4.8546 len=2828	26.6086	2828	0.0000	100.0000	2828	374	386	0.6223	28	8.13
k105_339 flag=1 multi=3.0000 len=2410	13.1560	2410	0.0000	100.0000	2410	160	160	0.6145	13	3.79
k105_82260 flag=0 multi=9.9617 len=4854	38.2734	4854	0.0000	100.0000	4854	925	938	0.4543	38	7.29
k105_342 flag=0 multi=29.8467 len=5061	128.4944	5061	0.0000	100.0000	5061	3228	3257	0.3472	130	19.10
k105_82267 flag=1 multi=2.5849 len=1861	21.7389	1861	0.0000	100.0000	1861	204	207	0.5927	22	5.78
k105_351 flag=0 multi=2.9346 len=1528	30.4372	1528	0.0000	100.0000	1528	234	236	0.4784	30	7.65
k105_82276 flag=1 multi=1.8961 len=1712	14.9912	1712	0.0000	100.0000	1712	130	128	0.4380	15	4.89
k105_82280 flag=1 multi=2.9433 len=1517	20.2584	1517	0.0000	100.0000	1517	157	154	0.5900	21	5.89
k105_82282 flag=1 multi=3.6050 len=2044	30.5729	2044	0.0000	100.0000	2044	312	313	0.4713	32	7.92
k105_82293 flag=0 multi=6.9895 len=5813	42.9520	5813	0.0000	100.0000	5813	1216	1263	0.2995	42	11.73
k105_377 flag=0 multi=16.6961 len=3178	98.5516	3178	0.0000	100.0000	3178	1565	1562	0.2906	97	20.04
k105_391 flag=0 multi=8.0725 len=3028	41.7110	3028	0.0000	100.0000	3028	634	634	0.3147	41	10.76
k105_82317 flag=0 multi=14.0803 len=2221	105.9649	2221	0.0000	100.0000	2221	1157	1146	0.3323	95	62.86
k105_406 flag=1 multi=3.0000 len=1736	14.4856	1736	0.0000	100.0000	1736	124	129	0.4277	14	4.70
k105_82331 flag=0 multi=6.8879 len=3744	37.1226	3744	0.0000	100.0000	3744	687	699	0.3097	37	12.08
k105_82342 flag=1 multi=2.0000 len=1912	8.8713	1912	0.0000	100.0000	1912	84	87	0.6246	9	2.50
k105_417 flag=0 multi=15.3978 len=3051	78.0357	3051	0.0000	100.0000	3051	1184	1189	0.2944	77	15.84
k105_82346 flag=1 multi=3.0000 len=1868	14.7013	1868	0.0000	100.0000	1868	139	136	0.3739	13	7.52
k105_433 flag=1 multi=4.4886 len=1767	30.6418	1767	0.0000	100.0000	1767	262	277	0.3472	34	11.15
k105_434 flag=0 multi=12.6275 len=2497	60.2167	2497	0.0000	100.0000	2497	749	747	0.3386	61	13.55
k105_82387 flag=0 multi=1.9956 len=2369	15.3018	2369	0.0000	100.0000	2369	181	183	0.6212	15	5.29
k105_82389 flag=0 multi=4.9814 len=2257	32.1427	2257	0.0000	100.0000	2257	362	361	0.3955	33	6.71
k105_82392 flag=1 multi=1.9406 len=2059	12.0753	2059	0.0000	100.0000	2059	128	122	0.3961	12	4.40
k105_82399 flag=1 multi=3.0000 len=2420	26.1529	2420	0.0000	100.0000	2420	311	321	0.3920	26	6.91
k105_470 flag=1 multi=2.9452 len=4227	34.1353	4227	0.0000	100.0000	4227	727	723	0.5009	34	5.80
k105_82409 flag=1 multi=3.0000 len=1752	13.8288	1752	0.0000	100.0000	1752	121	121	0.3533	15	3.56
k105_474 flag=1 multi=4.0000 len=2097	21.9752	2097	0.0000	100.0000	2097	227	239	0.6256	22	6.67
k105_82412 flag=1 multi=2.8767 len=2076	31.1310	2076	0.0000	100.0000	2076	328	322	0.5138	32	9.49
k105_485 flag=1 multi=1.8452 len=1533	17.9139	1533	0.0000	100.0000	1533	137	139	0.3105	18	4.41
k105_82419 flag=1 multi=4.0000 len=5480	11.9900	5480	0.0000	99.8358	5471	328	327	0.4005	12	3.62
k105_496 flag=1 multi=2.9915 len=1746	54.5865	1746	0.0000	100.0000	1746	454	500	0.3215	59	21.33
k105_82427 flag=0 multi=2.8479 len=1565	33.8498	1565	0.0000	100.0000	1565	265	270	0.3405	31	11.91
k105_82440 flag=1 multi=2.4166 len=1670	22.5000	1670	0.0000	100.0000	1670	190	192	0.6029	20	8.92
k105_511 flag=1 multi=3.9246 len=1736	28.2863	1736	0.0000	100.0000	1736	244	245	0.4404	31	13.37
k105_513 flag=0 multi=5.9774 len=2313	41.1388	2313	0.0000	100.0000	2313	474	476	0.3605	35	18.08
k105_82458 flag=0 multi=4.0000 len=2188	13.0864	2188	0.0000	100.0000	2188	148	141	0.5940	13	4.43
k105_529 flag=0 multi=4.1171 len=1728	102.9074	1728	0.0000	100.0000	1728	896	890	0.3297	124	46.62
k105_531 flag=1 multi=3.0000 len=3181	14.3581	3181	0.0000	100.0000	3181	227	232	0.5367	14	4.40
k105_538 flag=1 multi=3.0000 len=1619	92.1414	1619	0.0000	100.0000	1619	685	801	0.3186	87	41.70
k105_540 flag=1 multi=3.5823 len=3296	28.1587	3296	0.0000	100.0000	3296	462	466	0.4645	28	5.48
k105_82488 flag=1 multi=4.0000 len=1962	14.4760	1962	0.0000	100.0000	1962	141	143	0.5672	14	5.30
k105_82489 flag=1 multi=1.9498 len=2056	50.4791	2056	0.0000	100.0000	2056	505	534	0.3124	43	28.90
k105_82496 flag=1 multi=3.0000 len=2223	12.7886	2223	0.0000	100.0000	2223	146	144	0.6569	12	5.90
k105_551 flag=0 multi=5.0000 len=4300	16.3547	4300	0.0000	100.0000	4300	349	352	0.4452	16	5.09
k105_82498 flag=0 multi=3.9896 len=2980	28.1812	2980	0.0000	100.0000	2980	404	435	0.3326	20	29.55
k105_555 flag=1 multi=3.0000 len=2691	14.1304	2691	0.0000	100.0000	2691	182	196	0.3120	14	3.84
k105_556 flag=1 multi=2.6356 len=2734	64.7871	2734	0.0000	100.0000	2734	845	914	0.3037	55	37.86
k105_82504 flag=0 multi=8.0109 len=13276	31.8881	13276	0.0000	100.0000	13276	2110	2118	0.4586	32	8.09
k105_569 flag=1 multi=3.9305 len=3298	30.5036	3298	0.0000	100.0000	3298	498	500	0.2583	31	8.84
k105_82505 flag=1 multi=3.0000 len=2932	8.9086	2932	0.0000	100.0000	2932	132	133	0.5464	9	2.88
k105_82532 flag=1 multi=4.2853 len=1679	34.0054	1679	0.0000	100.0000	1679	273	297	0.5602	24	24.11
k105_595 flag=1 multi=4.0000 len=3145	19.5167	3145	0.0000	100.0000	3145	306	306	0.4226	20	6.62
k105_599 flag=1 multi=4.0000 len=3838	22.6589	3838	0.0000	100.0000	3838	426	439	0.3388	23	5.77
k105_82551 flag=1 multi=4.0000 len=2061	17.3353	2061	0.0000	100.0000	2061	177	179	0.4467	18	6.02
k105_606 flag=1 multi=3.8659 len=2186	23.2214	2186	0.0000	100.0000	2186	235	248	0.6672	24	9.51
k105_82556 flag=1 multi=2.9439 len=2566	18.8702	2566	0.0000	100.0000	2566	238	252	0.5779	19	4.41
k105_611 flag=1 multi=3.8231 len=1903	22.4293	1903	0.0000	100.0000	1903	203	220	0.2689	25	9.89
k105_622 flag=0 multi=8.0000 len=2294	42.6194	2294	0.0000	100.0000	2294	482	497	0.2931	42	10.03
k105_82576 flag=1 multi=3.0000 len=1957	14.7164	1957	0.0000	100.0000	1957	143	144	0.3575	13	5.37
k105_626 flag=1 multi=4.6474 len=3565	30.0182	3565	0.0000	100.0000	3565	527	539	0.3215	29	10.14
k105_629 flag=1 multi=3.0000 len=2036	24.7279	2036	0.0000	100.0000	2036	248	253	0.2585	24	6.91
k105_637 flag=1 multi=2.9330 len=1926	31.6973	1926	0.0000	100.0000	1926	303	310	0.5219	31	8.03
k105_82601 flag=1 multi=3.0000 len=6956	22.1471	6956	0.0000	100.0000	6956	768	774	0.4677	21	6.18
k105_82602 flag=1 multi=2.0000 len=2026	26.3213	2026	0.0000	100.0000	2026	268	272	0.4666	26	4.54
k105_642 flag=0 multi=9.9916 len=10756	42.9359	10756	0.0000	100.0000	10756	2300	2320	0.4845	43	9.88
k105_643 flag=1 multi=2.8535 len=2426	23.1175	2426	0.0000	100.0000	2426	277	283	0.3630	25	7.77
k105_82609 flag=1 multi=2.8887 len=1705	20.7642	1705	0.0000	100.0000	1705	182	177	0.6262	21	5.01
k105_649 flag=1 multi=3.8692 len=3063	19.9070	3063	0.0000	100.0000	3063	306	306	0.4572	20	4.95
k105_651 flag=0 multi=4.8533 len=2437	51.6943	2437	0.0000	100.0000	2437	624	638	0.3455	50	12.63
k105_82624 flag=0 multi=2.9875 len=1700	14.6229	1700	0.0000	100.0000	1700	126	123	0.3465	15	3.86
k105_82629 flag=1 multi=4.0000 len=1754	12.7759	1754	0.0000	100.0000	1754	114	111	0.5176	13	4.84
k105_82630 flag=0 multi=3.9570 len=6314	25.5160	6314	0.0000	100.0000	6314	783	826	0.3743	24	8.01
k105_672 flag=0 multi=6.8838 len=1955	32.4087	1955	0.0000	100.0000	1955	304	331	0.4446	34	9.65
k105_675 flag=0 multi=2.9877 len=1736	19.7465	1736	0.0000	100.0000	1736	152	192	0.4394	20	8.92
k105_677 flag=0 multi=3.9804 len=1792	17.3521	1792	0.0000	100.0000	1792	154	156	0.3614	17	5.83
k105_682 flag=1 multi=1.8890 len=1988	13.4638	1988	0.0000	100.0000	1988	132	135	0.2714	13	3.56
k105_82666 flag=1 multi=3.9001 len=2447	24.6927	2447	0.0000	100.0000	2447	303	300	0.3562	25	6.44
k105_82670 flag=1 multi=2.0000 len=1633	8.9222	1633	0.0000	100.0000	1633	75	76	0.6988	9	2.98
k105_82672 flag=1 multi=3.0000 len=3048	20.4124	3048	0.0000	100.0000	3048	302	324	0.4447	20	7.68
k105_716 flag=0 multi=2.9869 len=1626	33.6863	1626	0.0000	100.0000	1626	268	276	0.3332	35	13.26
k105_82679 flag=1 multi=5.0000 len=5635	27.1892	5635	0.0000	100.0000	5635	762	802	0.6422	27	7.09
k105_82681 flag=1 multi=4.0000 len=3154	24.0970	3154	0.0000	100.0000	3154	379	391	0.6322	24	7.63
k105_738 flag=0 multi=4.0000 len=2551	20.5708	2551	0.0000	100.0000	2551	261	266	0.4734	21	4.79
k105_82685 flag=0 multi=9.0574 len=8358	40.2516	8358	0.0000	100.0000	8358	1682	1685	0.4836	41	7.75
k105_748 flag=0 multi=3.5160 len=2165	47.9303	2165	0.0000	100.0000	2165	509	522	0.3130	54	21.28
k105_82686 flag=1 multi=2.9434 len=2401	14.9130	2401	0.0000	100.0000	2401	181	184	0.6334	15	4.90
k105_751 flag=1 multi=2.5648 len=1594	24.7440	1594	0.0000	100.0000	1594	199	197	0.2750	24	6.59
k105_759 flag=1 multi=3.0000 len=2310	33.7273	2310	0.0000	100.0000	2310	392	393	0.5212	34	6.10
k105_82704 flag=0 multi=5.9308 len=1550	39.1852	1550	0.0000	100.0000	1550	306	330	0.3697	32	36.26
k105_82707 flag=0 multi=9.8754 len=1550	54.8284	1550	0.0000	100.0000	1550	392	456	0.3391	49	25.16
k105_768 flag=0 multi=15.4854 len=3708	98.5491	3708	0.0000	100.0000	3708	1828	1824	0.3012	97	17.85
k105_82716 flag=1 multi=1.9620 len=2234	29.3666	2234	0.0000	100.0000	2234	326	334	0.4861	28	8.59
k105_776 flag=1 multi=4.5032 len=1502	22.3589	1502	0.0000	100.0000	1502	172	166	0.3889	20	9.12
k105_82737 flag=1 multi=1.9150 len=1634	20.8782	1634	0.0000	100.0000	1634	173	170	0.4934	21	6.24
k105_800 flag=0 multi=17.3940 len=2072	111.0874	2072	0.0000	100.0000	2072	1141	1155	0.2961	111	20.49
k105_82753 flag=1 multi=2.0000 len=2559	7.8605	2559	0.0000	100.0000	2559	100	101	0.5134	8	2.28
k105_82763 flag=0 multi=6.2225 len=1817	77.9554	1817	0.0000	100.0000	1817	702	713	0.3464	44	60.55
k105_82770 flag=1 multi=3.0000 len=1502	20.3096	1502	0.0000	100.0000	1502	150	157	0.6330	22	7.26
k105_82773 flag=1 multi=2.9353 len=2672	13.7661	2672	0.0000	100.0000	2672	184	183	0.4196	13	5.46
k105_82775 flag=1 multi=2.0000 len=1650	14.4345	1650	0.0000	100.0000	1650	120	121	0.6167	15	5.04
k105_82779 flag=1 multi=2.5579 len=1781	9.9759	1781	0.0000	100.0000	1781	88	91	0.6942	10	2.97
k105_82782 flag=1 multi=3.9509 len=1817	26.8393	1817	0.0000	100.0000	1817	239	246	0.3466	28	8.36
k105_809 flag=0 multi=8.9915 len=19033	36.3109	19033	0.0000	100.0000	19033	3350	3513	0.3303	32	17.18
k105_816 flag=0 multi=5.5814 len=1887	47.5019	1887	0.0000	100.0000	1887	448	448	0.3257	48	9.09
k105_82811 flag=1 multi=3.0000 len=2615	19.1839	2615	0.0000	100.0000	2615	245	258	0.6093	19	7.63
k105_826 flag=0 multi=27.0604 len=4227	126.5252	4227	0.0000	100.0000	4227	2623	2617	0.3396	123	31.50
k105_829 flag=1 multi=3.1680 len=2701	20.9271	2701	0.0000	99.8149	2696	274	291	0.3731	21	7.46
k105_82829 flag=0 multi=3.4518 len=1982	22.4097	1982	0.0000	100.0000	1982	227	227	0.6686	22	5.12
k105_82832 flag=1 multi=2.0000 len=1895	17.4929	1895	0.0000	100.0000	1895	164	167	0.3742	18	5.05
k105_839 flag=0 multi=6.9612 len=1651	25.2944	1651	0.0000	100.0000	1651	214	204	0.3151	25	6.16
k105_844 flag=0 multi=9.7680 len=1915	43.8590	1915	0.0000	100.0000	1915	403	439	0.3525	36	23.85
k105_847 flag=0 multi=3.8338 len=1675	27.6125	1675	0.0000	100.0000	1675	214	245	0.3466	20	20.84
k105_82840 flag=1 multi=3.0000 len=6395	14.1437	6395	0.0000	100.0000	6395	451	460	0.6223	13	5.16
k105_82841 flag=1 multi=3.8241 len=1901	29.2488	1901	0.0000	100.0000	1901	279	275	0.3296	23	16.50
k105_82843 flag=1 multi=3.0000 len=1939	13.4028	1939	0.0000	100.0000	1939	129	134	0.5894	14	6.16
k105_869 flag=1 multi=1.9651 len=2711	23.3571	2711	0.0000	100.0000	2711	284	351	0.6163	17	17.12
k105_880 flag=1 multi=3.0000 len=1578	14.1692	1578	0.0000	100.0000	1578	111	112	0.4220	14	4.81
k105_881 flag=0 multi=5.4919 len=2069	40.6641	2069	0.0000	100.0000	2069	418	421	0.3768	32	21.47
k105_891 flag=0 multi=5.6641 len=2668	19.7597	2668	0.0000	99.7001	2660	257	267	0.3485	20	6.41
k105_892 flag=1 multi=2.7635 len=1733	75.2897	1733	0.0000	100.0000	1733	567	731	0.3233	60	52.83
k105_82896 flag=1 multi=2.9441 len=1967	28.9476	1967	0.0000	100.0000	1967	286	288	0.5317	29	6.72
k105_895 flag=0 multi=12.3297 len=2668	38.6874	2668	0.0000	99.9625	2667	499	528	0.3522	40	11.21
k105_82900 flag=1 multi=3.0000 len=3252	13.3201	3252	0.0000	100.0000	3252	217	220	0.6294	13	3.89
k105_898 flag=1 multi=3.0000 len=1949	28.6029	1949	0.0000	100.0000	1949	271	287	0.3387	31	12.81
k105_901 flag=1 multi=3.0000 len=6175	19.7056	6175	0.0000	100.0000	6175	600	614	0.4331	19	5.33
k105_82930 flag=1 multi=2.3212 len=3913	14.2073	3913	0.0000	100.0000	3913	278	280	0.4886	14	3.90
k105_918 flag=0 multi=23.5365 len=1939	125.9278	1939	0.0000	100.0000	1939	1208	1241	0.3079	131	31.60
k105_82963 flag=0 multi=4.9847 len=2713	30.4139	2713	0.0000	100.0000	2713	404	416	0.3262	32	8.46
k105_934 flag=0 multi=7.5761 len=1742	77.9501	1742	0.0000	100.0000	1742	681	677	0.3533	81	18.05
k105_951 flag=1 multi=2.0000 len=2179	18.9514	2179	0.0000	100.0000	2179	200	213	0.2983	19	6.59
k105_82984 flag=0 multi=4.9923 len=5302	24.6769	5302	0.0000	99.8868	5296	653	655	0.4629	24	8.24
k105_957 flag=1 multi=3.6101 len=2098	20.0386	2098	0.0000	100.0000	2098	217	209	0.5720	20	6.93
k105_82988 flag=1 multi=2.9989 len=3865	22.1074	3865	0.0000	100.0000	3865	426	437	0.6158	22	5.53
k105_82997 flag=1 multi=3.3247 len=2276	47.2201	2276	0.0000	100.0000	2276	524	548	0.3436	37	24.89
k105_83006 flag=1 multi=1.9436 len=1523	50.4465	1523	0.0000	100.0000	1523	350	418	0.3462	46	22.10
k105_83007 flag=1 multi=4.0000 len=2175	24.6566	2175	0.0000	100.0000	2175	262	272	0.2942	26	9.27
k105_980 flag=1 multi=3.9904 len=10758	27.7209	10758	0.0000	100.0000	10758	1438	1525	0.3536	26	11.33
k105_987 flag=1 multi=3.5841 len=1627	18.4806	1627	0.0000	100.0000	1627	147	153	0.3706	16	8.23
k105_83025 flag=0 multi=11.1885 len=4487	35.0388	4487	0.0000	100.0000	4487	769	797	0.3745	35	7.19
k105_991 flag=0 multi=19.7410 len=2522	142.8807	2522	0.0000	100.0000	2522	1777	1832	0.3037	139	30.85
k105_992 flag=1 multi=3.0000 len=2092	12.0186	2092	0.0000	100.0000	2092	125	127	0.5284	12	3.20
k105_83033 flag=0 multi=5.2095 len=4487	20.9458	4487	0.0000	100.0000	4487	455	482	0.3744	21	6.23
k105_1002 flag=0 multi=25.9634 len=2288	120.6560	2288	0.0000	100.0000	2288	1374	1370	0.3406	126	22.69
k105_83042 flag=1 multi=4.7733 len=2505	13.3689	2505	0.0000	100.0000	2505	170	163	0.3356	12	6.02
k105_1004 flag=1 multi=2.8937 len=1948	15.1725	1948	0.0000	100.0000	1948	147	149	0.3088	14	7.95
k105_83049 flag=1 multi=2.9684 len=5225	17.4584	5225	0.0000	100.0000	5225	456	466	0.6064	18	5.50
k105_83057 flag=1 multi=3.0000 len=1979	11.3613	1979	0.0000	100.0000	1979	112	112	0.3670	11	4.59
k105_1027 flag=1 multi=1.8940 len=1634	11.6267	1634	0.0000	100.0000	1634	95	96	0.3967	11	2.99
k105_1030 flag=1 multi=3.0000 len=2316	13.5363	2316	0.0000	100.0000	2316	160	155	0.5206	13	4.71
k105_1034 flag=0 multi=8.7595 len=4534	68.5068	4534	0.0000	100.0000	4534	1518	1567	0.3468	61	38.58
k105_83059 flag=0 multi=30.2851 len=15905	129.5535	15905	0.0000	100.0000	15905	10235	10250	0.2972	129	20.68
k105_83060 flag=1 multi=4.0000 len=1604	16.2151	1604	0.0000	100.0000	1604	129	130	0.3894	16	5.32
k105_83062 flag=0 multi=24.8461 len=3438	137.7848	3438	0.0000	100.0000	3438	2357	2360	0.3206	133	38.46
k105_1040 flag=0 multi=30.2482 len=3368	120.1303	3368	0.0000	100.0000	3368	2016	2017	0.3357	127	27.45
k105_1042 flag=1 multi=2.0000 len=1540	8.8221	1540	0.0000	100.0000	1540	67	69	0.5310	8	2.83
k105_1046 flag=0 multi=8.3235 len=3125	53.0816	3125	0.0000	100.0000	3125	811	842	0.3629	51	13.54
k105_1050 flag=1 multi=3.8232 len=1785	45.5524	1785	0.0000	100.0000	1785	401	418	0.3662	46	8.09
k105_1063 flag=1 multi=2.0000 len=1528	21.7232	1528	0.0000	100.0000	1528	165	169	0.3489	22	5.73
k105_83101 flag=1 multi=1.9921 len=1503	19.8436	1503	0.0000	99.8669	1501	154	149	0.6288	20	6.22
k105_1069 flag=1 multi=1.9410 len=1562	13.0634	1562	0.0000	100.0000	1562	102	103	0.3729	12	3.91
k105_1073 flag=1 multi=2.9483 len=2312	15.3702	2312	0.0000	100.0000	2312	178	176	0.3593	14	6.04
k105_83110 flag=1 multi=2.9007 len=1878	7.7380	1878	0.0000	100.0000	1878	73	73	0.5385	8	2.51
k105_1086 flag=0 multi=5.8825 len=1671	56.3776	1671	0.0000	100.0000	1671	472	466	0.3290	60	16.62
k105_1088 flag=0 multi=6.9344 len=2072	53.1448	2072	0.0000	100.0000	2072	548	552	0.2968	52	11.48
k105_83130 flag=0 multi=23.3210 len=3077	108.4150	3077	0.0000	100.0000	3077	1666	1660	0.3286	113	22.65
k105_83131 flag=1 multi=2.7386 len=4065	30.2098	4065	0.0000	100.0000	4065	616	611	0.4843	30	7.58
k105_1104 flag=1 multi=2.0000 len=2190	13.0685	2190	0.0000	100.0000	2190	141	146	0.3697	13	3.31
k105_1107 flag=0 multi=9.9876 len=7350	42.9207	7350	0.0000	100.0000	7350	1551	1599	0.4602	42	11.08
k105_83150 flag=1 multi=3.4318 len=3222	24.6254	3222	0.0000	100.0000	3222	386	406	0.3252	24	7.14
k105_1120 flag=1 multi=2.4894 len=1999	35.8619	1999	0.0000	100.0000	1999	344	373	0.3453	34	15.80
k105_1123 flag=1 multi=2.6813 len=1542	30.2743	1542	0.0000	100.0000	1542	235	231	0.4609	33	8.62
k105_1124 flag=1 multi=3.9107 len=2155	31.8585	2155	0.0000	100.0000	2155	344	342	0.3378	33	11.86
k105_83176 flag=1 multi=2.9940 len=3456	22.0119	3456	0.0000	100.0000	3456	366	390	0.3463	19	11.96
k105_1125 flag=1 multi=2.9469 len=3196	12.8930	3196	0.0000	100.0000	3196	203	210	0.5021	13	4.41
k105_83183 flag=1 multi=1.9965 len=1533	13.5747	1533	0.0000	100.0000	1533	104	105	0.3582	14	3.37
