#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k105_81956 flag=0 multi=4.0000 len=4305	16.8156	4305	0.0000	99.9768	4304	364	363	0.6307	16	5.68
k105_81957 flag=1 multi=4.7230 len=1549	95.4170	1549	0.0000	100.0000	1549	685	757	0.3247	78	42.85
k105_102 flag=1 multi=1.9530 len=1593	23.9492	1593	0.0000	98.8701	1575	196	187	0.5155	26	8.36
k105_81966 flag=1 multi=2.9469 len=2705	11.5349	2705	0.0000	100.0000	2705	155	155	0.4186	12	4.25
k105_81987 flag=1 multi=3.8628 len=2992	16.9275	2992	0.0000	100.0000	2992	255	258	0.5888	17	5.45
k105_129 flag=1 multi=2.8896 len=2115	18.1816	2115	0.0000	100.0000	2115	195	189	0.3996	18	5.04
k105_81999 flag=1 multi=4.0000 len=1884	10.4432	1884	0.0000	100.0000	1884	99	99	0.4227	10	3.90
k105_82003 flag=1 multi=2.5152 len=1877	9.2035	1877	0.0000	100.0000	1877	88	86	0.3916	9	3.53
k105_82013 flag=0 multi=4.6632 len=1821	33.9253	1821	0.0000	100.0000	1821	297	320	0.3038	37	10.64
k105_142 flag=0 multi=21.5236 len=11883	89.7539	11883	0.0000	100.0000	11883	5284	5328	0.3156	90	12.95
k105_160 flag=1 multi=2.0000 len=2067	8.1301	2067	0.0000	100.0000	2067	84	84	0.4093	8	2.88
k105_165 flag=1 multi=4.0000 len=1882	19.1785	1882	0.0000	100.0000	1882	181	181	0.3896	18	8.56
k105_168 flag=1 multi=1.9583 len=1785	12.2947	1785	0.0000	100.0000	1785	105	114	0.3350	12	6.42
k105_82054 flag=1 multi=3.0000 len=1645	10.6954	1645	0.0000	100.0000	1645	90	88	0.5528	11	3.22
k105_185 flag=1 multi=2.9400 len=2438	12.8987	2438	0.0000	100.0000	2438	154	162	0.3777	12	4.71
k105_191 flag=1 multi=4.0000 len=2128	24.4267	2128	0.0000	100.0000	2128	258	261	0.3239	22	11.28
k105_82082 flag=1 multi=5.0000 len=3393	14.8718	3393	0.0000	99.9116	3390	253	251	0.4488	15	4.43
k105_193 flag=0 multi=5.7433 len=1605	26.3402	1605	0.0000	100.0000	1605	222	205	0.3612	25	9.10
k105_199 flag=1 multi=3.8773 len=2941	13.6161	2941	0.0000	100.0000	2941	199	200	0.4558	14	4.59
k105_82095 flag=1 multi=2.9583 len=2478	15.3624	2478	0.0000	100.0000	2478	189	198	0.6498	16	4.73
k105_203 flag=0 multi=11.7947 len=2808	71.0563	2808	0.0000	100.0000	2808	994	990	0.3303	74	16.74
k105_82101 flag=1 multi=3.0000 len=1824	22.6217	1824	0.0000	100.0000	1824	201	211	0.3610	23	6.66
k105_82103 flag=0 multi=10.1423 len=2199	67.8699	2199	0.0000	100.0000	2199	734	709	0.3612	71	20.65
k105_218 flag=0 multi=6.9830 len=3640	36.6077	3640	0.0000	100.0000	3640	653	669	0.3237	38	12.36
k105_226 flag=0 multi=3.3555 len=1891	14.7731	1891	0.0000	97.9905	1853	142	136	0.3604	14	5.71
k105_245 flag=1 multi=2.0000 len=1856	8.6805	1856	0.0000	100.0000	1856	76	85	0.3679	8	3.58
k105_82118 flag=0 multi=6.0010 len=24502	23.3316	24502	0.0000	100.0000	24502	2803	2888	0.4195	23	6.31
k105_262 flag=1 multi=3.9473 len=4885	15.6000	4885	0.0000	100.0000	4885	377	381	0.3598	15	5.90
k105_82133 flag=1 multi=3.9190 len=3475	15.4521	3475	0.0000	99.9712	3474	269	269	0.4458	16	5.22
k105_269 flag=1 multi=3.0000 len=2026	15.6032	2026	0.0000	100.0000	2026	161	154	0.3796	16	4.14
k105_276 flag=0 multi=15.7355 len=1519	78.6978	1519	0.0000	100.0000	1519	602	594	0.3007	81	16.66
k105_82153 flag=1 multi=4.0000 len=5342	15.6563	5342	0.0000	100.0000	5342	418	428	0.6188	15	5.29
k105_289 flag=0 multi=4.2325 len=1645	60.9100	1645	0.0000	100.0000	1645	505	509	0.3915	57	18.00
k105_82178 flag=1 multi=2.2191 len=1990	18.9693	1990	0.0000	100.0000	1990	191	191	0.6219	19	5.34
k105_82186 flag=1 multi=4.0000 len=2181	8.3416	2181	0.0000	100.0000	2181	89	93	0.5204	8	3.86
k105_322 flag=1 multi=2.8447 len=1522	10.4336	1522	0.0000	100.0000	1522	79	80	0.3809	10	2.78
k105_323 flag=0 multi=18.3494 len=4561	85.4751	4561	0.0000	100.0000	4561	1936	1952	0.2832	85	13.87
k105_82215 flag=1 multi=2.8909 len=1902	16.3417	1902	0.0000	100.0000	1902	151	158	0.3191	17	4.86
k105_82225 flag=1 multi=3.0000 len=1620	10.1475	1620	0.0000	99.6914	1615	83	83	0.6042	10	4.15
k105_325 flag=1 multi=11.0000 len=17783	38.6655	17783	0.0000	100.0000	17783	3364	3469	0.3165	38	10.61
k105_82242 flag=1 multi=4.8546 len=2828	22.6163	2828	0.0000	100.0000	2828	317	328	0.6225	24	7.79
k105_339 flag=1 multi=3.0000 len=2410	9.9581	2410	0.0000	99.4606	2397	121	122	0.6145	10	3.26
k105_82260 flag=0 multi=9.9617 len=4854	32.0913	4854	0.0000	100.0000	4854	774	787	0.4547	32	6.96
k105_342 flag=0 multi=29.8467 len=5061	105.2909	5061	0.0000	100.0000	5061	2643	2671	0.3474	105	16.81
k105_82267 flag=1 multi=2.5849 len=1861	17.5975	1861	0.0000	100.0000	1861	165	167	0.5901	18	5.22
k105_351 flag=0 multi=2.9346 len=1528	25.0870	1528	0.0000	100.0000	1528	194	194	0.4793	25	7.11
k105_82276 flag=1 multi=1.8961 len=1712	12.9597	1712	0.0000	100.0000	1712	112	110	0.4398	14	4.36
k105_82280 flag=1 multi=2.9433 len=1517	17.2123	1517	0.0000	100.0000	1517	133	131	0.5921	18	5.33
k105_82282 flag=1 multi=3.6050 len=2044	25.0768	2044	0.0000	100.0000	2044	257	255	0.4724	27	6.94
k105_82293 flag=0 multi=6.9895 len=5813	34.7383	5813	0.0000	100.0000	5813	984	1021	0.2996	35	9.71
k105_377 flag=0 multi=16.6961 len=3178	79.4931	3178	0.0000	100.0000	3178	1263	1260	0.2911	78	16.16
k105_391 flag=0 multi=8.0725 len=3028	32.7688	3028	0.0000	100.0000	3028	499	498	0.3154	32	8.71
k105_82317 flag=0 multi=14.0803 len=2221	85.9266	2221	0.0000	100.0000	2221	940	927	0.3329	78	51.96
k105_406 flag=1 multi=3.0000 len=1736	10.8197	1736	0.0000	100.0000	1736	92	96	0.4293	10	4.26
k105_82331 flag=0 multi=6.8879 len=3744	30.5465	3744	0.0000	99.8130	3737	564	576	0.3104	29	10.98
k105_82342 flag=1 multi=2.0000 len=1912	7.2741	1912	0.0000	100.0000	1912	69	71	0.6242	7	2.22
k105_417 flag=0 multi=15.3978 len=3051	61.2278	3051	0.0000	100.0000	3051	928	933	0.2930	60	12.10
k105_82346 flag=1 multi=3.0000 len=1868	12.2864	1868	0.0000	100.0000	1868	117	113	0.3742	11	6.68
k105_433 flag=1 multi=4.4886 len=1767	24.8415	1767	0.0000	100.0000	1767	214	224	0.3479	27	8.83
k105_434 flag=0 multi=12.6275 len=2497	48.0541	2497	0.0000	100.0000	2497	596	598	0.3382	47	11.99
k105_82387 flag=0 multi=1.9956 len=2369	12.5095	2369	0.0000	100.0000	2369	148	150	0.6215	12	4.62
k105_82389 flag=0 multi=4.9814 len=2257	26.7156	2257	0.0000	100.0000	2257	301	300	0.3975	27	6.62
k105_82392 flag=1 multi=1.9406 len=2059	10.6595	2059	0.0000	100.0000	2059	113	108	0.3936	10	4.11
k105_82399 flag=1 multi=3.0000 len=2420	20.5372	2420	0.0000	100.0000	2420	243	254	0.3922	20	5.88
k105_470 flag=1 multi=2.9452 len=4227	26.3206	4227	0.0000	100.0000	4227	559	559	0.5003	27	5.38
k105_82409 flag=1 multi=3.0000 len=1752	11.8721	1752	0.0000	100.0000	1752	104	104	0.3567	13	3.77
k105_474 flag=1 multi=4.0000 len=2097	17.6323	2097	0.0000	100.0000	2097	180	193	0.6269	17	5.49
k105_82412 flag=1 multi=2.8767 len=2076	25.1739	2076	0.0000	100.0000	2076	267	259	0.5141	26	8.19
k105_485 flag=1 multi=1.8452 len=1533	14.5649	1533	0.0000	100.0000	1533	110	113	0.3082	15	3.93
k105_82419 flag=1 multi=4.0000 len=5480	9.9060	5480	0.0000	99.8358	5471	271	270	0.4010	10	3.32
k105_496 flag=1 multi=2.9915 len=1746	43.6025	1746	0.0000	100.0000	1746	360	402	0.3219	47	17.45
k105_82427 flag=0 multi=2.8479 len=1565	26.5374	1565	0.0000	100.0000	1565	211	209	0.3404	24	10.58
k105_82440 flag=1 multi=2.4166 len=1670	18.2485	1670	0.0000	100.0000	1670	154	156	0.6031	16	7.69
k105_511 flag=1 multi=3.9246 len=1736	23.1227	1736	0.0000	100.0000	1736	199	201	0.4393	25	11.05
k105_513 flag=0 multi=5.9774 len=2313	34.7492	2313	0.0000	100.0000	2313	398	404	0.3602	30	15.46
k105_82458 flag=0 multi=4.0000 len=2188	10.0452	2188	0.0000	100.0000	2188	113	109	0.5938	10	3.93
k105_529 flag=0 multi=4.1171 len=1728	83.9884	1728	0.0000	100.0000	1728	734	724	0.3315	98	38.39
k105_531 flag=1 multi=3.0000 len=3181	11.8120	3181	0.0000	100.0000	3181	187	191	0.5417	11	4.31
k105_538 flag=1 multi=3.0000 len=1619	76.0383	1619	0.0000	100.0000	1619	562	664	0.3195	72	35.62
k105_540 flag=1 multi=3.5823 len=3296	21.9311	3296	0.0000	100.0000	3296	360	363	0.4635	22	4.79
k105_82488 flag=1 multi=4.0000 len=1962	11.5306	1962	0.0000	100.0000	1962	112	114	0.5661	12	4.20
k105_82489 flag=1 multi=1.9498 len=2056	41.1926	2056	0.0000	100.0000	2056	412	436	0.3138	34	24.98
k105_82496 flag=1 multi=3.0000 len=2223	10.1359	2223	0.0000	100.0000	2223	117	114	0.6567	9	4.87
k105_551 flag=0 multi=5.0000 len=4300	13.5409	4300	0.0000	100.0000	4300	288	291	0.4451	14	4.60
k105_82498 flag=0 multi=3.9896 len=2980	23.4477	2980	0.0000	100.0000	2980	335	362	0.3323	17	24.59
k105_555 flag=1 multi=3.0000 len=2691	11.1847	2691	0.0000	100.0000	2691	145	154	0.3149	11	4.10
k105_556 flag=1 multi=2.6356 len=2734	50.6405	2734	0.0000	100.0000	2734	660	716	0.3042	43	31.26
k105_82504 flag=0 multi=8.0109 len=13276	25.9606	13276	0.0000	100.0000	13276	1719	1722	0.4587	26	7.01
k105_569 flag=1 multi=3.9305 len=3298	24.1683	3298	0.0000	99.6058	3285	395	396	0.2555	25	7.89
k105_82505 flag=1 multi=3.0000 len=2932	7.0798	2932	0.0000	100.0000	2932	105	106	0.5476	7	2.81
k105_82532 flag=1 multi=4.2853 len=1679	27.4515	1679	0.0000	100.0000	1679	222	238	0.5617	19	20.22
k105_595 flag=1 multi=4.0000 len=3145	15.2795	3145	0.0000	98.9507	3112	240	240	0.4230	15	5.76
k105_599 flag=1 multi=4.0000 len=3838	17.4541	3838	0.0000	100.0000	3838	328	338	0.3385	17	4.83
k105_82551 flag=1 multi=4.0000 len=2061	14.8360	2061	0.0000	100.0000	2061	152	153	0.4450	15	5.31
k105_606 flag=1 multi=3.8659 len=2186	19.3596	2186	0.0000	100.0000	2186	194	204	0.6670	20	8.21
k105_82556 flag=1 multi=2.9439 len=2566	15.4119	2566	0.0000	100.0000	2566	196	204	0.5811	16	3.81
k105_611 flag=1 multi=3.8231 len=1903	17.9180	1903	0.0000	100.0000	1903	160	178	0.2684	20	7.99
k105_622 flag=0 multi=8.0000 len=2294	33.9420	2294	0.0000	100.0000	2294	384	395	0.2936	34	8.70
k105_82576 flag=1 multi=3.0000 len=1957	12.2504	1957	0.0000	100.0000	1957	120	119	0.3593	11	5.40
k105_626 flag=1 multi=4.6474 len=3565	24.0957	3565	0.0000	100.0000	3565	424	432	0.3215	24	8.76
k105_629 flag=1 multi=3.0000 len=2036	19.7927	2036	0.0000	100.0000	2036	200	201	0.2608	20	6.22
k105_637 flag=1 multi=2.9330 len=1926	26.1620	1926	0.0000	100.0000	1926	251	255	0.5219	25	7.05
k105_82601 flag=1 multi=3.0000 len=6956	18.0538	6956	0.0000	100.0000	6956	626	631	0.4683	18	5.66
k105_82602 flag=1 multi=2.0000 len=2026	20.7922	2026	0.0000	100.0000	2026	210	215	0.4660	21	4.53
k105_642 flag=0 multi=9.9916 len=10756	34.8622	10756	0.0000	100.0000	10756	1869	1885	0.4845	35	8.38
k105_643 flag=1 multi=2.8535 len=2426	18.6715	2426	0.0000	100.0000	2426	224	229	0.3647	20	6.06
k105_82609 flag=1 multi=2.8887 len=1705	16.8393	1705	0.0000	100.0000	1705	148	143	0.6265	17	4.85
k105_649 flag=1 multi=3.8692 len=3063	15.7405	3063	0.0000	100.0000	3063	243	241	0.4576	16	4.99
k105_651 flag=0 multi=4.8533 len=2437	40.7288	2437	0.0000	100.0000	2437	493	502	0.3458	40	9.53
k105_82624 flag=0 multi=2.9875 len=1700	12.3094	1700	0.0000	100.0000	1700	105	104	0.3459	12	3.77
k105_82629 flag=1 multi=4.0000 len=1754	10.2731	1754	0.0000	100.0000	1754	92	89	0.5163	10	3.83
k105_82630 flag=0 multi=3.9570 len=6314	21.2019	6314	0.0000	100.0000	6314	648	690	0.3743	20	6.55
k105_672 flag=0 multi=6.8838 len=1955	27.0199	1955	0.0000	100.0000	1955	253	275	0.4435	28	7.71
k105_675 flag=0 multi=2.9877 len=1736	15.9147	1736	0.0000	100.0000	1736	123	153	0.4398	17	7.19
k105_677 flag=0 multi=3.9804 len=1792	14.1122	1792	0.0000	100.0000	1792	124	128	0.3589	14	4.91
k105_682 flag=1 multi=1.8890 len=1988	10.4603	1988	0.0000	100.0000	1988	102	105	0.2684	10	3.65
k105_82666 flag=1 multi=3.9001 len=2447	20.2554	2447	0.0000	100.0000	2447	248	247	0.3564	21	5.31
k105_82670 flag=1 multi=2.0000 len=1633	7.4152	1633	0.0000	100.0000	1633	63	63	0.7025	7	2.77
k105_82672 flag=1 multi=3.0000 len=3048	16.9577	3048	0.0000	100.0000	3048	251	268	0.4448	16	6.76
k105_716 flag=0 multi=2.9869 len=1626	27.8659	1626	0.0000	100.0000	1626	224	226	0.3338	28	11.76
k105_82679 flag=1 multi=5.0000 len=5635	22.2417	5635	0.0000	100.0000	5635	622	656	0.6426	22	6.12
k105_82681 flag=1 multi=4.0000 len=3154	19.9788	3154	0.0000	100.0000	3154	314	324	0.6328	20	6.91
k105_738 flag=0 multi=4.0000 len=2551	16.3391	2551	0.0000	100.0000	2551	206	212	0.4726	16	4.62
k105_82685 flag=0 multi=9.0574 len=8358	32.5748	8358	0.0000	100.0000	8358	1361	1367	0.4835	33	7.05
k105_748 flag=0 multi=3.5160 len=2165	38.0328	2165	0.0000	100.0000	2165	403	415	0.3140	40	17.56
k105_82686 flag=1 multi=2.9434 len=2401	12.1033	2401	0.0000	100.0000	2401	147	150	0.6333	12	4.91
k105_751 flag=1 multi=2.5648 len=1594	19.6901	1594	0.0000	100.0000	1594	158	156	0.2734	20	4.84
k105_759 flag=1 multi=3.0000 len=2310	27.3035	2310	0.0000	100.0000	2310	317	319	0.5225	27	5.11
k105_82704 flag=0 multi=5.9308 len=1550	31.8200	1550	0.0000	100.0000	1550	250	266	0.3700	25	29.78
k105_82707 flag=0 multi=9.8754 len=1550	45.0290	1550	0.0000	100.0000	1550	325	372	0.3392	38	22.22
k105_768 flag=0 multi=15.4854 len=3708	78.7621	3708	0.0000	100.0000	3708	1462	1456	0.3014	77	14.51
k105_82716 flag=1 multi=1.9620 len=2234	24.1831	2234	0.0000	100.0000	2234	270	274	0.4851	23	6.80
k105_776 flag=1 multi=4.5032 len=1502	18.0486	1502	0.0000	100.0000	1502	139	134	0.3893	17	6.80
k105_82737 flag=1 multi=1.9150 len=1634	16.8482	1634	0.0000	100.0000	1634	140	136	0.4950	17	5.97
k105_800 flag=0 multi=17.3940 len=2072	90.1940	2072	0.0000	100.0000	2072	925	939	0.2963	90	18.11
k105_82753 flag=1 multi=2.0000 len=2559	7.0758	2559	0.0000	100.0000	2559	90	91	0.5113	7	2.34
k105_82763 flag=0 multi=6.2225 len=1817	62.2889	1817	0.0000	100.0000	1817	561	569	0.3464	34	49.88
k105_82770 flag=1 multi=3.0000 len=1502	16.4774	1502	0.0000	100.0000	1502	121	128	0.6326	18	5.80
k105_82773 flag=1 multi=2.9353 len=2672	11.2103	2672	0.0000	100.0000	2672	149	150	0.4233	10	4.98
k105_82775 flag=1 multi=2.0000 len=1650	12.3661	1650	0.0000	100.0000	1650	102	103	0.6156	13	4.38
k105_82779 flag=1 multi=2.5579 len=1781	7.4211	1781	0.0000	100.0000	1781	65	68	0.6961	8	2.41
k105_82782 flag=1 multi=3.9509 len=1817	20.8542	1817	0.0000	100.0000	1817	187	190	0.3474	21	7.04
k105_809 flag=0 multi=8.9915 len=19033	29.2795	19033	0.0000	100.0000	19033	2701	2831	0.3303	26	14.09
k105_816 flag=0 multi=5.5814 len=1887	39.1383	1887	0.0000	100.0000	1887	368	371	0.3259	39	7.91
k105_82811 flag=1 multi=3.0000 len=2615	15.7870	2615	0.0000	100.0000	2615	201	213	0.6084	15	6.10
k105_826 flag=0 multi=27.0604 len=4227	102.0334	4227	0.0000	100.0000	4227	2114	2110	0.3407	99	26.74
k105_829 flag=1 multi=3.1680 len=2701	16.4498	2701	0.0000	99.8149	2696	215	229	0.3720	16	6.84
k105_82829 flag=0 multi=3.4518 len=1982	18.5257	1982	0.0000	100.0000	1982	188	187	0.6694	19	4.74
k105_82832 flag=1 multi=2.0000 len=1895	13.4718	1895	0.0000	100.0000	1895	126	129	0.3755	13	4.59
k105_839 flag=0 multi=6.9612 len=1651	19.7032	1651	0.0000	100.0000	1651	167	159	0.3160	19	4.88
k105_844 flag=0 multi=9.7680 len=1915	35.8292	1915	0.0000	99.7389	1910	328	359	0.3522	29	19.18
k105_847 flag=0 multi=3.8338 len=1675	21.3815	1675	0.0000	100.0000	1675	166	190	0.3465	15	16.74
k105_82840 flag=1 multi=3.0000 len=6395	11.3409	6395	0.0000	100.0000	6395	359	370	0.6207	11	4.41
k105_82841 flag=1 multi=3.8241 len=1901	23.8979	1901	0.0000	100.0000	1901	229	223	0.3295	20	13.05
k105_82843 flag=1 multi=3.0000 len=1939	11.2950	1939	0.0000	100.0000	1939	109	113	0.5898	11	5.32
k105_869 flag=1 multi=1.9651 len=2711	19.5618	2711	0.0000	100.0000	2711	240	291	0.6178	14	14.88
k105_880 flag=1 multi=3.0000 len=1578	10.8010	1578	0.0000	100.0000	1578	85	85	0.4207	11	3.50
k105_881 flag=0 multi=5.4919 len=2069	31.7936	2069	0.0000	100.0000	2069	328	328	0.3762	24	17.76
k105_891 flag=0 multi=5.6641 len=2668	16.0615	2668	0.0000	99.7001	2660	210	216	0.3500	15	5.59
k105_892 flag=1 multi=2.7635 len=1733	60.0265	1733	0.0000	100.0000	1733	454	580	0.3224	48	41.45
k105_82896 flag=1 multi=2.9441 len=1967	22.7153	1967	0.0000	100.0000	1967	225	227	0.5352	23	6.83
k105_895 flag=0 multi=12.3297 len=2668	32.1049	2668	0.0000	99.9625	2667	413	439	0.3512	32	9.68
k105_82900 flag=1 multi=3.0000 len=3252	11.0959	3252	0.0000	100.0000	3252	180	184	0.6290	11	3.49
k105_898 flag=1 multi=3.0000 len=1949	23.6624	1949	0.0000	100.0000	1949	225	237	0.3386	26	10.33
k105_901 flag=1 multi=3.0000 len=6175	15.9415	6175	0.0000	100.0000	6175	486	495	0.4345	16	4.94
k105_82930 flag=1 multi=2.3212 len=3913	11.4638	3913	0.0000	100.0000	3913	225	225	0.4849	11	3.64
k105_918 flag=0 multi=23.5365 len=1939	102.8623	1939	0.0000	100.0000	1939	986	1015	0.3088	111	28.32
k105_82963 flag=0 multi=4.9847 len=2713	25.0092	2713	0.0000	100.0000	2713	332	342	0.3252	26	7.29
k105_934 flag=0 multi=7.5761 len=1742	62.2824	1742	0.0000	100.0000	1742	547	539	0.3527	63	15.62
k105_951 flag=1 multi=2.0000 len=2179	14.6150	2179	0.0000	100.0000	2179	153	165	0.2997	15	5.74
k105_82984 flag=0 multi=4.9923 len=5302	19.8395	5302	0.0000	99.8868	5296	524	526	0.4642	19	7.42
k105_957 flag=1 multi=3.6101 len=2098	16.2159	2098	0.0000	100.0000	2098	175	169	0.5730	16	6.82
k105_82988 flag=1 multi=2.9989 len=3865	17.8554	3865	0.0000	100.0000	3865	346	352	0.6168	17	5.35
k105_82997 flag=1 multi=3.3247 len=2276	38.0892	2276	0.0000	100.0000	2276	420	445	0.3458	31	21.10
k105_83006 flag=1 multi=1.9436 len=1523	42.3690	1523	0.0000	100.0000	1523	296	349	0.3482	38	20.53
k105_83007 flag=1 multi=4.0000 len=2175	19.0032	2175	0.0000	100.0000	2175	202	209	0.2959	19	8.03
k105_980 flag=1 multi=3.9904 len=10758	22.5195	10758	0.0000	100.0000	10758	1168	1239	0.3547	21	9.69
k105_987 flag=1 multi=3.5841 len=1627	14.9066	1627	0.0000	100.0000	1627	119	123	0.3716	13	6.63
k105_83025 flag=0 multi=11.1885 len=4487	27.9432	4487	0.0000	100.0000	4487	615	634	0.3735	27	6.51
k105_991 flag=0 multi=19.7410 len=2522	116.7974	2522	0.0000	100.0000	2522	1451	1499	0.3038	111	28.38
k105_992 flag=1 multi=3.0000 len=2092	10.0511	2092	0.0000	100.0000	2092	105	106	0.5311	10	2.66
k105_83033 flag=0 multi=5.2095 len=4487	17.0827	4487	0.0000	100.0000	4487	372	392	0.3743	17	5.47
k105_1002 flag=0 multi=25.9634 len=2288	98.3344	2288	0.0000	100.0000	2288	1119	1117	0.3404	102	19.47
k105_83042 flag=1 multi=4.7733 len=2505	10.9461	2505	0.0000	100.0000	2505	139	133	0.3365	10	5.46
k105_1004 flag=1 multi=2.8937 len=1948	12.5642	1948	0.0000	100.0000	1948	120	125	0.3050	11	6.42
k105_83049 flag=1 multi=2.9684 len=5225	14.1634	5225	0.0000	100.0000	5225	370	379	0.6056	14	4.69
k105_83057 flag=1 multi=3.0000 len=1979	9.3244	1979	0.0000	100.0000	1979	92	92	0.3654	9	3.86
k105_1027 flag=1 multi=1.8940 len=1634	9.0416	1634	0.0000	100.0000	1634	74	74	0.3926	9	2.23
k105_1030 flag=1 multi=3.0000 len=2316	10.7729	2316	0.0000	100.0000	2316	128	123	0.5214	11	3.87
k105_1034 flag=0 multi=8.7595 len=4534	55.4671	4534	0.0000	100.0000	4534	1223	1274	0.3477	49	31.03
k105_83059 flag=0 multi=30.2851 len=15905	103.9256	15905	0.0000	100.0000	15905	8207	8220	0.2975	104	17.81
k105_83060 flag=1 multi=4.0000 len=1604	12.9414	1604	0.0000	100.0000	1604	103	104	0.3862	13	4.77
k105_83062 flag=0 multi=24.8461 len=3438	110.4654	3438	0.0000	100.0000	3438	1886	1896	0.3204	107	30.97
k105_1040 flag=0 multi=30.2482 len=3368	94.2123	3368	0.0000	100.0000	3368	1580	1585	0.3358	99	20.80
k105_1042 flag=1 multi=2.0000 len=1540	5.9513	1540	0.0000	99.4156	1531	47	45	0.5341	6	2.41
k105_1046 flag=0 multi=8.3235 len=3125	43.7651	3125	0.0000	100.0000	3125	668	695	0.3634	41	11.78
k105_1050 flag=1 multi=3.8232 len=1785	37.3720	1785	0.0000	100.0000	1785	331	341	0.3661	37	7.66
k105_1063 flag=1 multi=2.0000 len=1528	17.7042	1528	0.0000	100.0000	1528	135	137	0.3514	18	5.87
k105_83101 flag=1 multi=1.9921 len=1503	15.8476	1503	0.0000	99.5343	1496	123	119	0.6286	16	4.89
k105_1069 flag=1 multi=1.9410 len=1562	11.2529	1562	0.0000	100.0000	1562	88	89	0.3733	11	3.12
k105_1073 flag=1 multi=2.9483 len=2312	11.4849	2312	0.0000	100.0000	2312	134	131	0.3619	10	4.99
k105_83110 flag=1 multi=2.9007 len=1878	6.1384	1878	0.0000	100.0000	1878	58	57	0.5387	6	2.17
k105_1086 flag=0 multi=5.8825 len=1671	45.1227	1671	0.0000	100.0000	1671	378	371	0.3281	47	14.54
k105_1088 flag=0 multi=6.9344 len=2072	40.8875	2072	0.0000	100.0000	2072	422	425	0.2946	39	9.15
k105_83130 flag=0 multi=23.3210 len=3077	86.2333	3077	0.0000	100.0000	3077	1325	1320	0.3278	90	19.79
k105_83131 flag=1 multi=2.7386 len=4065	24.8900	4065	0.0000	100.0000	4065	507	503	0.4852	25	6.73
k105_1104 flag=1 multi=2.0000 len=2190	10.1457	2190	0.0000	100.0000	2190	109	114	0.3683	10	2.54
k105_1107 flag=0 multi=9.9876 len=7350	35.1869	7350	0.0000	100.0000	7350	1271	1310	0.4599	34	9.03
k105_83150 flag=1 multi=3.4318 len=3222	20.3526	3222	0.0000	100.0000	3222	318	337	0.3250	19	5.90
k105_1120 flag=1 multi=2.4894 len=1999	27.2121	1999	0.0000	100.0000	1999	263	281	0.3449	25	13.05
k105_1123 flag=1 multi=2.6813 len=1542	23.9838	1542	0.0000	100.0000	1542	187	182	0.4630	26	7.40
k105_1124 flag=1 multi=3.9107 len=2155	25.0705	2155	0.0000	100.0000	2155	274	266	0.3384	26	9.99
k105_83176 flag=1 multi=2.9940 len=3456	18.2286	3456	0.0000	100.0000	3456	304	322	0.3464	15	9.60
k105_1125 flag=1 multi=2.9469 len=3196	10.5006	3196	0.0000	100.0000	3196	165	171	0.5022	10	3.41
k105_83183 flag=1 multi=1.9965 len=1533	11.5917	1533	0.0000	100.0000	1533	88	90	0.3591	12	3.82
k105_1142 flag=1 multi=4.0000 len=4637	17.5312	4637	0.0000	100.0000	4637	404	406	0.3651	18	4.66
