#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k105_259 flag=0 multi=9.0859 len=1712	73.3686	1712	0.0000	100.0000	1712	625	626	0.3445	76	17.87
k105_87119 flag=1 multi=2.0000 len=1625	9.2369	1625	0.0000	100.0000	1625	75	77	0.5641	9	2.92
k105_261 flag=0 multi=9.7347 len=3350	40.9836	3350	0.0000	100.0000	3350	688	676	0.3316	41	14.17
k105_87122 flag=1 multi=3.0000 len=2736	11.3666	2736	0.0000	100.0000	2736	151	165	0.6494	11	4.88
k105_265 flag=1 multi=5.0000 len=2887	38.6554	2887	0.0000	100.0000	2887	532	580	0.3878	37	15.71
k105_269 flag=0 multi=4.8048 len=2088	32.1533	2088	0.0000	100.0000	2088	334	339	0.3477	31	7.89
k105_277 flag=1 multi=3.7308 len=1665	35.1321	1665	0.0000	100.0000	1665	273	315	0.2901	35	9.43
k105_281 flag=0 multi=13.7407 len=3946	71.1655	3946	0.0000	100.0000	3946	1394	1404	0.3254	71	15.02
k105_296 flag=1 multi=2.0000 len=2530	31.1063	2530	0.0000	100.0000	2530	387	400	0.2771	31	8.46
k105_297 flag=1 multi=6.0000 len=1917	18.1570	1917	0.0000	100.0000	1917	176	171	0.4626	18	4.31
k105_307 flag=0 multi=5.8025 len=2171	23.1336	2171	0.0000	100.0000	2171	253	252	0.3622	13	18.88
k105_318 flag=0 multi=10.8963 len=2033	66.5986	2033	0.0000	100.0000	2033	672	677	0.2791	67	14.73
k105_329 flag=1 multi=4.0000 len=3883	27.5223	3883	0.0000	100.0000	3883	535	534	0.4191	27	6.36
k105_349 flag=1 multi=2.9491 len=3957	15.3584	3957	0.0000	100.0000	3957	302	308	0.4314	15	4.26
k105_352 flag=0 multi=64.0942 len=3810	308.5087	3810	0.0000	100.0000	3810	5779	5914	0.3603	227	154.66
k105_359 flag=1 multi=3.0000 len=1686	11.1779	1686	0.0000	100.0000	1686	94	95	0.2876	11	3.75
k105_372 flag=1 multi=3.9543 len=4568	26.0000	4568	0.0000	100.0000	4568	596	589	0.3475	25	7.53
k105_380 flag=1 multi=4.0000 len=3487	15.5813	3487	0.0000	100.0000	3487	271	272	0.4191	16	4.93
k105_401 flag=1 multi=3.0000 len=1671	12.7696	1671	0.0000	100.0000	1671	103	110	0.4737	13	5.18
k105_410 flag=0 multi=7.1992 len=1792	253.5262	1792	0.0000	100.0000	1792	2208	2361	0.3445	252	92.36
k105_419 flag=0 multi=13.8607 len=3221	45.8625	3221	0.0000	100.0000	3221	746	744	0.5566	46	8.44
k105_420 flag=0 multi=20.7611 len=1675	93.9612	1675	0.0000	100.0000	1675	801	768	0.3644	107	46.30
k105_433 flag=0 multi=7.0000 len=10809	22.6433	10809	0.0000	100.0000	10809	1209	1230	0.3885	22	7.10
k105_443 flag=0 multi=3.8173 len=2048	30.5264	2048	0.0000	100.0000	2048	304	319	0.3199	30	9.34
k105_446 flag=1 multi=3.0000 len=2263	17.0225	2263	0.0000	100.0000	2263	193	193	0.4093	18	6.35
k105_465 flag=0 multi=4.3363 len=3013	60.1089	3013	0.0000	100.0000	3013	910	887	0.3474	38	54.88
k105_471 flag=1 multi=3.9479 len=2641	116.1908	2641	0.0000	100.0000	2641	1559	1490	0.3521	118	53.84
k105_481 flag=0 multi=12.9107 len=3241	61.2672	3241	0.0000	100.0000	3241	992	986	0.2885	57	16.14
k105_499 flag=1 multi=2.8612 len=2208	27.1209	2208	0.0000	100.0000	2208	289	308	0.2978	28	8.71
k105_502 flag=0 multi=6.0030 len=2468	111.0636	2468	0.0000	100.0000	2468	1443	1288	0.3476	71	99.47
k105_87129 flag=0 multi=8.9991 len=184978	27.2912	184978	0.0000	100.0000	184978	25138	25170	0.4171	27	7.33
k105_87130 flag=1 multi=6.0000 len=5722	15.1024	5722	0.0000	100.0000	5722	432	430	0.4594	15	5.11
k105_522 flag=0 multi=6.5213 len=1582	57.2105	1582	0.0000	100.0000	1582	450	459	0.2954	55	12.59
k105_87135 flag=1 multi=2.9053 len=3884	14.6869	3884	0.0000	100.0000	3884	282	290	0.4551	14	5.12
k105_87141 flag=1 multi=3.0000 len=2200	10.8155	2200	0.0000	100.0000	2200	119	120	0.5698	11	4.03
k105_87159 flag=1 multi=6.5182 len=3092	27.6226	3092	0.0000	100.0000	3092	425	432	0.4038	27	10.48
k105_560 flag=1 multi=4.7712 len=1871	17.7980	1871	0.0000	100.0000	1871	164	166	0.3205	17	8.33
k105_563 flag=0 multi=32.8913 len=2496	288.3197	2496	0.0000	100.0000	2496	3580	3573	0.3250	337	132.93
k105_565 flag=1 multi=3.0000 len=1801	14.7107	1801	0.0000	100.0000	1801	133	139	0.6205	16	4.71
k105_87199 flag=0 multi=18.0000 len=1703	72.9513	1703	0.0000	100.0000	1703	625	633	0.5977	73	13.46
k105_582 flag=0 multi=15.0011 len=8942	62.5267	8942	0.0000	100.0000	8942	2769	2795	0.3086	60	18.37
k105_87205 flag=1 multi=3.0000 len=2354	15.5166	2354	0.0000	100.0000	2354	186	185	0.7422	15	6.62
k105_583 flag=0 multi=4.1227 len=2753	29.3378	2753	0.0000	100.0000	2753	410	404	0.5732	29	6.61
k105_87211 flag=0 multi=6.4815 len=2026	30.7315	2026	0.0000	100.0000	2026	307	318	0.3827	31	9.49
k105_589 flag=1 multi=7.8453 len=1676	39.2888	1676	0.0000	100.0000	1676	325	331	0.3444	23	30.77
k105_87212 flag=1 multi=2.4063 len=2155	29.2237	2155	0.0000	100.0000	2155	311	319	0.3772	30	7.59
k105_598 flag=0 multi=91.8893 len=2480	462.1113	2480	0.0000	100.0000	2480	5739	5662	0.3602	454	95.53
k105_87214 flag=1 multi=3.0000 len=4232	14.6744	4232	0.0000	100.0000	4232	297	327	0.6173	14	4.41
k105_87225 flag=0 multi=12.3473 len=2561	83.0605	2561	0.0000	100.0000	2561	1076	1078	0.6092	83	13.50
k105_87233 flag=1 multi=3.0000 len=4636	32.4694	4636	0.0000	100.0000	4636	741	757	0.3783	32	6.28
k105_87234 flag=1 multi=3.0000 len=3200	11.3775	3200	0.0000	100.0000	3200	183	182	0.5695	11	3.91
k105_87247 flag=0 multi=16.2266 len=4007	75.9374	4007	0.0000	100.0000	4007	1541	1548	0.6291	77	13.95
k105_651 flag=0 multi=7.6058 len=3228	90.9622	3228	0.0000	100.0000	3228	1438	1475	0.3309	53	86.15
k105_87254 flag=1 multi=3.0000 len=1823	9.0883	1823	0.0000	100.0000	1823	85	83	0.6430	9	3.92
k105_659 flag=1 multi=5.0000 len=2659	20.2253	2659	0.0000	100.0000	2659	263	273	0.3890	21	6.10
k105_87258 flag=0 multi=26.1714 len=1616	82.6856	1616	0.0000	100.0000	1616	667	672	0.3658	81	20.56
k105_661 flag=0 multi=16.5627 len=2586	54.8728	2586	0.0000	100.0000	2586	709	711	0.4257	56	12.05
k105_663 flag=0 multi=3.9789 len=1524	17.7756	1524	0.0000	100.0000	1524	138	136	0.4855	18	5.81
k105_87274 flag=0 multi=18.5010 len=2626	84.1287	2626	0.0000	100.0000	2626	1112	1120	0.6188	85	10.33
k105_87286 flag=1 multi=2.9468 len=1871	10.8471	1871	0.0000	100.0000	1871	108	101	0.5866	11	3.13
k105_681 flag=1 multi=2.6496 len=2688	15.0260	2688	0.0000	100.0000	2688	202	201	0.3646	15	5.45
k105_694 flag=1 multi=4.0000 len=2469	13.0705	2469	0.0000	100.0000	2469	160	163	0.4413	13	3.55
k105_87290 flag=0 multi=30.8057 len=6548	97.9979	6548	0.0000	100.0000	6548	3206	3219	0.5049	99	15.36
k105_703 flag=1 multi=3.9482 len=5958	27.7294	5958	0.0000	100.0000	5958	803	859	0.5983	27	6.66
k105_715 flag=0 multi=1.9945 len=1919	50.3835	1919	0.0000	100.0000	1919	472	497	0.3331	36	38.08
k105_718 flag=0 multi=39.1503 len=3452	339.0710	3452	0.0000	100.0000	3452	5775	5888	0.3527	263	154.41
k105_719 flag=0 multi=3.5970 len=2301	47.1121	2301	0.0000	100.0000	2301	531	546	0.3189	35	32.78
k105_726 flag=1 multi=2.8959 len=2545	95.1929	2545	0.0000	100.0000	2545	1106	1311	0.3239	95	27.28
k105_737 flag=0 multi=9.5209 len=2620	69.4160	2620	0.0000	100.0000	2620	901	910	0.2906	70	15.38
k105_738 flag=1 multi=4.0000 len=2397	22.5344	2397	0.0000	100.0000	2397	274	268	0.3208	23	5.07
k105_87342 flag=1 multi=5.0000 len=10326	15.6946	10326	0.0000	100.0000	10326	809	834	0.6420	15	5.23
k105_739 flag=1 multi=2.0000 len=1658	8.1695	1658	0.0000	100.0000	1658	67	69	0.4644	8	2.48
k105_746 flag=1 multi=1.9097 len=1522	13.6807	1522	0.0000	100.0000	1522	104	104	0.2634	13	4.57
k105_87346 flag=0 multi=7.0000 len=5989	24.9848	5989	0.0000	100.0000	5989	758	774	0.6657	24	10.03
k105_87348 flag=1 multi=3.0000 len=2269	11.7893	2269	0.0000	100.0000	2269	133	139	0.6577	12	4.14
k105_769 flag=1 multi=3.8561 len=1502	15.2284	1502	0.0000	100.0000	1502	118	112	0.3258	14	6.37
k105_779 flag=0 multi=22.5621 len=1877	178.4742	1877	0.0000	100.0000	1877	1647	1703	0.3696	54	229.93
k105_87368 flag=0 multi=11.2421 len=4958	52.1664	4958	0.0000	100.0000	4958	1292	1297	0.5490	52	11.49
k105_782 flag=0 multi=4.9771 len=1850	31.0211	1850	0.0000	100.0000	1850	297	283	0.2977	20	24.27
k105_806 flag=1 multi=4.0000 len=2221	10.9761	2221	0.0000	100.0000	2221	121	122	0.4009	10	4.55
k105_87385 flag=1 multi=5.0000 len=8300	13.9777	8300	0.0000	100.0000	8300	580	581	0.5464	14	3.89
k105_87389 flag=1 multi=4.0000 len=1929	13.8813	1929	0.0000	100.0000	1929	133	134	0.4318	14	4.30
k105_808 flag=0 multi=7.7771 len=6506	51.7160	6506	0.0000	100.0000	6506	1658	1692	0.3837	52	10.28
k105_816 flag=0 multi=5.4552 len=1755	49.1504	1755	0.0000	100.0000	1755	428	435	0.3545	49	11.55
k105_87408 flag=1 multi=4.0000 len=1914	9.4754	1914	0.0000	100.0000	1914	89	92	0.3681	10	3.05
k105_830 flag=0 multi=2.9930 len=2663	32.0000	2663	0.0000	100.0000	2663	425	422	0.3048	29	13.51
k105_87429 flag=1 multi=5.0000 len=1737	27.2855	1737	0.0000	100.0000	1737	235	241	0.5623	28	12.47
k105_842 flag=0 multi=9.9271 len=2573	43.2386	2573	0.0000	100.0000	2573	569	541	0.3708	39	12.11
k105_87430 flag=0 multi=7.2374 len=5298	31.6586	5298	0.0000	99.6791	5281	831	834	0.6101	33	8.42
k105_845 flag=1 multi=2.7367 len=1723	13.9896	1723	0.0000	100.0000	1723	123	119	0.3996	14	4.32
k105_852 flag=0 multi=2.9372 len=2269	30.7325	2269	0.0000	100.0000	2269	335	361	0.3465	31	10.82
k105_87439 flag=1 multi=6.1991 len=1798	28.5868	1798	0.0000	100.0000	1798	255	255	0.3116	29	8.62
k105_855 flag=1 multi=3.0000 len=2517	11.7998	2517	0.0000	100.0000	2517	141	155	0.4226	12	4.46
k105_87450 flag=0 multi=19.3642 len=3386	85.1270	3386	0.0000	100.0000	3386	1470	1448	0.6261	86	13.54
k105_871 flag=1 multi=4.0000 len=3482	13.6804	3482	0.0000	100.0000	3482	239	240	0.5709	14	4.18
k105_87455 flag=0 multi=9.0388 len=7113	32.0855	7113	0.0000	100.0000	7113	1155	1142	0.5905	32	6.49
k105_874 flag=1 multi=6.9317 len=4759	34.9601	4759	0.0000	100.0000	4759	833	826	0.3720	37	9.39
k105_883 flag=0 multi=4.0000 len=2607	24.9685	2607	0.0000	100.0000	2607	325	337	0.5781	24	5.65
k105_87468 flag=1 multi=2.0000 len=2524	13.0681	2524	0.0000	100.0000	2524	165	168	0.7106	13	4.68
k105_87492 flag=1 multi=5.0000 len=6098	14.0966	6098	0.0000	100.0000	6098	431	430	0.6005	14	4.41
k105_925 flag=1 multi=2.9038 len=1622	63.7497	1622	0.0000	100.0000	1622	455	577	0.3294	58	34.11
k105_87500 flag=0 multi=4.8255 len=4660	31.9105	4660	0.0000	100.0000	4660	744	750	0.5994	32	7.41
k105_939 flag=0 multi=58.7329 len=2366	199.3204	2366	0.0000	100.0000	2366	2380	2359	0.3625	201	35.42
k105_87514 flag=0 multi=5.6501 len=2797	35.0905	2797	0.0000	100.0000	2797	492	497	0.5676	35	8.73
k105_947 flag=0 multi=11.1139 len=1519	81.9375	1519	0.0000	100.0000	1519	620	627	0.3237	82	10.97
k105_948 flag=1 multi=3.9129 len=6026	28.4447	6026	0.0000	100.0000	6026	841	865	0.2839	23	17.81
k105_87524 flag=0 multi=6.9726 len=4479	24.1007	4479	0.0000	100.0000	4479	540	551	0.6256	23	7.61
k105_955 flag=1 multi=4.0000 len=1642	13.7637	1642	0.0000	100.0000	1642	111	116	0.4330	13	5.98
k105_963 flag=0 multi=10.0000 len=2038	43.5236	2038	0.0000	100.0000	2038	447	445	0.4637	45	8.23
k105_967 flag=1 multi=5.0000 len=2012	30.4473	2012	0.0000	100.0000	2012	302	308	0.4012	33	11.58
k105_87539 flag=1 multi=3.0000 len=2086	12.9799	2086	0.0000	100.0000	2086	134	141	0.6281	13	4.72
k105_87543 flag=1 multi=4.0000 len=3135	11.8896	3135	0.0000	100.0000	3135	187	187	0.5983	12	3.84
k105_87544 flag=1 multi=4.7264 len=2561	34.3916	2561	0.0000	100.0000	2561	434	444	0.4304	35	7.59
k105_993 flag=0 multi=5.4765 len=1679	49.5039	1679	0.0000	100.0000	1679	421	407	0.3211	40	26.04
k105_87555 flag=1 multi=4.8524 len=1785	30.0140	1785	0.0000	100.0000	1785	272	280	0.6663	31	9.12
k105_1000 flag=1 multi=2.6868 len=1615	25.2489	1615	0.0000	100.0000	1615	206	205	0.3127	20	12.74
k105_87562 flag=1 multi=4.0000 len=1620	36.7068	1620	0.0000	100.0000	1620	297	302	0.4540	37	7.79
k105_1003 flag=0 multi=3.9201 len=3820	28.4856	3820	0.0000	100.0000	3820	542	563	0.6117	29	7.39
k105_1006 flag=1 multi=3.0000 len=1835	13.4300	1835	0.0000	100.0000	1835	122	123	0.2862	13	3.89
k105_87575 flag=0 multi=14.2626 len=6281	79.8018	6281	0.0000	100.0000	6281	2526	2537	0.6424	84	18.52
k105_87576 flag=1 multi=2.9263 len=3631	35.6590	3631	0.0000	100.0000	3631	641	657	0.4393	36	6.82
k105_87585 flag=1 multi=4.8509 len=2331	39.1304	2331	0.0000	100.0000	2331	451	465	0.4704	39	8.15
k105_87598 flag=1 multi=4.0000 len=4677	12.6151	4677	0.0000	100.0000	4677	299	294	0.5693	12	4.23
k105_1058 flag=1 multi=4.0000 len=2140	12.5678	2140	0.0000	100.0000	2140	134	134	0.5589	13	4.93
k105_1059 flag=0 multi=5.8339 len=6499	35.1439	6499	0.0000	100.0000	6499	1126	1173	0.5651	33	14.20
k105_1063 flag=1 multi=2.7611 len=1520	57.1520	1520	0.0000	100.0000	1520	430	443	0.3318	73	35.83
k105_87626 flag=0 multi=5.1846 len=2055	15.8686	2055	0.0000	99.8054	2051	166	164	0.6009	16	6.02
k105_1066 flag=0 multi=3.9426 len=1622	41.1412	1622	0.0000	100.0000	1622	342	322	0.3576	37	18.21
k105_87629 flag=0 multi=4.1135 len=1938	14.8756	1938	0.0000	100.0000	1938	143	146	0.6022	15	5.23
k105_1070 flag=1 multi=2.0000 len=1772	23.3025	1772	0.0000	100.0000	1772	201	210	0.4146	25	6.86
k105_87640 flag=0 multi=8.2267 len=2328	85.9940	2328	0.0000	100.0000	2328	1008	1014	0.6465	86	14.41
k105_1074 flag=1 multi=5.0000 len=1759	14.7516	1759	0.0000	100.0000	1759	130	131	0.5456	14	5.39
k105_1075 flag=0 multi=73.6060 len=1562	300.3560	1562	0.0000	100.0000	1562	2341	2351	0.3404	291	63.97
k105_87641 flag=0 multi=7.0000 len=5558	29.3985	5558	0.0000	100.0000	5558	824	823	0.6126	30	8.53
k105_87651 flag=1 multi=3.8358 len=1567	10.7013	1567	0.0000	100.0000	1567	84	83	0.4870	11	4.76
k105_1092 flag=0 multi=9.9617 len=2455	40.3735	2455	0.0000	100.0000	2455	493	503	0.4724	41	9.49
k105_87661 flag=1 multi=2.9721 len=2115	12.5418	2115	0.0000	100.0000	2115	134	132	0.5011	12	3.18
k105_1103 flag=0 multi=8.9359 len=2397	64.4894	2397	0.0000	100.0000	2397	767	771	0.3985	66	15.88
k105_87673 flag=0 multi=5.9458 len=1950	29.3528	1950	0.0000	100.0000	1950	282	296	0.4093	30	17.08
k105_1105 flag=1 multi=3.0000 len=1924	12.6965	1924	0.0000	100.0000	1924	121	122	0.4241	13	4.62
k105_1106 flag=1 multi=2.4433 len=1797	30.5938	1797	0.0000	100.0000	1797	280	268	0.3394	29	15.08
k105_87676 flag=0 multi=9.5651 len=4175	39.2034	4175	0.0000	100.0000	4175	824	819	0.4736	39	9.18
k105_1112 flag=1 multi=2.0000 len=1836	13.5158	1836	0.0000	100.0000	1836	119	128	0.4236	15	4.44
k105_87691 flag=0 multi=3.9664 len=3679	32.5893	3679	0.0000	100.0000	3679	578	615	0.3208	20	27.59
k105_87694 flag=0 multi=5.0595 len=1668	94.3231	1668	0.0000	100.0000	1668	800	764	0.3537	85	46.85
k105_87698 flag=1 multi=4.0000 len=1626	11.1771	1626	0.0000	100.0000	1626	92	90	0.6195	11	3.05
k105_1133 flag=0 multi=15.5844 len=12895	69.3485	12895	0.0000	100.0000	12895	4415	4467	0.2980	69	13.10
k105_1141 flag=0 multi=28.1822 len=1510	167.9815	1510	0.0000	100.0000	1510	1249	1270	0.3647	182	47.46
k105_1143 flag=1 multi=3.9244 len=1969	42.1620	1969	0.0000	100.0000	1969	388	440	0.2670	42	13.46
k105_87719 flag=0 multi=10.4785 len=5885	38.4391	5885	0.0000	100.0000	5885	1127	1132	0.4427	38	7.78
k105_1151 flag=0 multi=3.8425 len=4182	32.3190	4182	0.0000	100.0000	4182	665	679	0.2963	31	10.07
k105_87724 flag=1 multi=3.9217 len=2747	11.1616	2747	0.0000	100.0000	2747	152	153	0.4647	11	3.12
k105_87731 flag=0 multi=11.3582 len=9616	40.9303	9616	0.0000	100.0000	9616	1966	1963	0.4632	40	7.94
k105_87739 flag=0 multi=12.4297 len=1613	52.8772	1613	0.0000	100.0000	1613	429	433	0.4692	54	8.33
k105_87760 flag=0 multi=11.8521 len=1660	71.1325	1660	0.0000	100.0000	1660	603	611	0.6253	75	18.54
k105_1157 flag=0 multi=77.8807 len=34487	284.6673	34487	0.0000	100.0000	34487	48680	48867	0.3399	276	69.41
k105_87765 flag=1 multi=5.0000 len=5911	14.5405	5911	0.0000	100.0000	5911	430	430	0.4943	15	4.44
k105_87773 flag=1 multi=1.9033 len=1543	10.5982	1543	0.0000	100.0000	1543	84	84	0.5788	11	2.87
k105_1167 flag=0 multi=9.5562 len=2651	55.2524	2651	0.0000	100.0000	2651	732	735	0.4383	55	10.89
k105_1175 flag=0 multi=49.0839 len=1858	307.5151	1858	0.0000	100.0000	1858	2801	2888	0.3232	251	124.49
k105_87785 flag=1 multi=4.0000 len=2453	12.4611	2453	0.0000	100.0000	2453	152	154	0.5691	12	4.51
k105_1180 flag=0 multi=4.0000 len=2264	21.4589	2264	0.0000	100.0000	2264	245	246	0.3836	19	10.01
k105_1189 flag=0 multi=15.3786 len=9886	82.9188	9886	0.0000	100.0000	9886	3996	4168	0.3409	64	76.00
k105_87825 flag=1 multi=4.9527 len=1966	40.4059	1966	0.0000	100.0000	1966	397	401	0.5033	41	6.68
k105_1199 flag=1 multi=3.5282 len=3176	24.8092	3176	0.0000	100.0000	3176	363	361	0.3272	25	7.63
k105_87826 flag=0 multi=6.4364 len=10014	37.9681	10014	0.0000	100.0000	10014	1911	1945	0.6275	38	8.66
k105_1208 flag=0 multi=19.6363 len=6555	58.3855	6555	0.0000	100.0000	6555	1908	1930	0.5165	60	16.15
k105_87831 flag=1 multi=3.2736 len=2919	49.4978	2919	0.0000	100.0000	2919	688	751	0.3364	41	33.71
k105_87839 flag=0 multi=51.0326 len=3114	621.1943	3114	0.0000	100.0000	3114	9635	9664	0.3321	664	159.94
k105_1221 flag=1 multi=4.0000 len=2405	16.5185	2405	0.0000	100.0000	2405	198	197	0.3104	17	5.47
k105_87851 flag=0 multi=24.4840 len=2043	105.4327	2043	0.0000	100.0000	2043	1083	1073	0.3751	117	42.09
k105_1239 flag=1 multi=3.0000 len=1943	16.2295	1943	0.0000	100.0000	1943	153	160	0.3180	16	5.26
k105_87867 flag=1 multi=4.0000 len=3158	15.0902	3158	0.0000	100.0000	3158	237	238	0.3388	15	3.94
k105_1257 flag=1 multi=1.8641 len=1761	17.9568	1761	0.0000	100.0000	1761	156	160	0.5267	17	7.26
k105_1260 flag=1 multi=5.0000 len=3738	20.3387	3738	0.0000	100.0000	3738	374	390	0.4739	20	5.43
k105_1271 flag=1 multi=3.0000 len=2705	14.3423	2705	0.0000	100.0000	2705	193	194	0.4739	15	3.70
